% Title: Parkinsons Disease Data Set
% 
% Abstract: Oxford Parkinson's Disease Detection Dataset
% 
% -----------------------------------------------------	
% 
% Data Set Characteristics: Multivariate
% Number of Instances: 197
% Area: Life
% Attribute Characteristics: Real
% Number of Attributes: 23
% Date Donated: 2008-06-26
% Associated Tasks: Classification
% Missing Values? N/A
% 
% -----------------------------------------------------	
% 
% Source:
% 
% The dataset was created by Max Little of the University of Oxford, in 
% collaboration with the National Centre for Voice and Speech, Denver, 
% Colorado, who recorded the speech signals. The original study published the 
% feature extraction methods for general voice disorders.
% 
% -----------------------------------------------------
% 
% Data Set Information:
% 
% This dataset is composed of a range of biomedical voice measurements from 
% 31 people, 23 with Parkinson's disease (PD). Each column in the table is a 
% particular voice measure, and each row corresponds one of 195 voice 
% recording from these individuals ("name" column). The main aim of the data 
% is to discriminate healthy people from those with PD, according to "status" 
% column which is set to 0 for healthy and 1 for PD.
% 
% The data is in ASCII CSV format. The rows of the CSV file contain an 
% instance corresponding to one voice recording. There are around six 
% recordings per patient, the name of the patient is identified in the first 
% column.For further information or to pass on comments, please contact Max 
% Little (littlem '@' robots.ox.ac.uk).
% 
% Further details are contained in the following reference -- if you use this 
% dataset, please cite:
% Max A. Little, Patrick E. McSharry, Eric J. Hunter, Lorraine O. Ramig (2008), 
% 'Suitability of dysphonia measurements for telemonitoring of Parkinson's disease', 
% IEEE Transactions on Biomedical Engineering (to appear).
% 
% -----------------------------------------------------
% 
% Attribute Information:
% 
% Matrix column entries (attributes):
% name - ASCII subject name and recording number
% MDVP:Fo(Hz) - Average vocal fundamental frequency
% MDVP:Fhi(Hz) - Maximum vocal fundamental frequency
% MDVP:Flo(Hz) - Minimum vocal fundamental frequency
% MDVP:Jitter(%),MDVP:Jitter(Abs),MDVP:RAP,MDVP:PPQ,Jitter:DDP - Several 
% measures of variation in fundamental frequency
% MDVP:Shimmer,MDVP:Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,MDVP:APQ,Shimmer:DDA - Several measures of variation in % amplitude
% NHR,HNR - Two measures of ratio of noise to tonal components in the voice
% status - Health status of the subject (one) - Parkinson's, (zero) - healthy
% RPDE,D2 - Two nonlinear dynamical complexity measures
% DFA - Signal fractal scaling exponent
% spread1,spread2,PPE - Three nonlinear measures of fundamental frequency variation 
% 
% -----------------------------------------------------
% 
% Citation Request:
% 
% If you use this dataset, please cite the following paper: 
% 'Exploiting Nonlinear Recurrence and Fractal Scaling Properties for Voice Disorder Detection', 
% Little MA, McSharry PE, Roberts SJ, Costello DAE, Moroz IM. 
% BioMedical Engineering OnLine 2007, 6:23 (26 June 2007)

@RELATION parkinsons

@ATTRIBUTE A1 REAL
@ATTRIBUTE A2 REAL
@ATTRIBUTE A3 REAL
@ATTRIBUTE A4 REAL
@ATTRIBUTE A5 REAL
@ATTRIBUTE A6 REAL
@ATTRIBUTE A7 REAL
@ATTRIBUTE A8 REAL
@ATTRIBUTE A9 REAL
@ATTRIBUTE A10 REAL
@ATTRIBUTE A11 REAL
@ATTRIBUTE A12 REAL
@ATTRIBUTE A13 REAL
@ATTRIBUTE A14 REAL
@ATTRIBUTE A15 REAL
@ATTRIBUTE A16 REAL
@ATTRIBUTE A17 REAL
@ATTRIBUTE A18 REAL
@ATTRIBUTE A19 REAL
@ATTRIBUTE A20 REAL
@ATTRIBUTE A21 REAL
@ATTRIBUTE A22 REAL

@ATTRIBUTE class {0,1}

@DATA
14418800,34925900,8276400,0.00544,0.00004,0.00211,0.00292,0.00632,0.02047,0.19200,0.00969,0.01200,0.02074,0.02908,0.01859,2233300,0.567380,0.644692,-5440040,0.239764,2264501,0.218164,1
16877800,23218100,7560300,0.00718,0.00004,0.00284,0.00387,0.00853,0.03327,0.34800,0.01441,0.01893,0.03430,0.04322,0.02919,2037600,0.631099,0.605417,-2931070,0.434326,3007463,0.430788,1
15304600,17582900,6862300,0.00742,0.00005,0.00364,0.00432,0.01092,0.05517,0.54200,0.02471,0.03572,0.05767,0.07413,0.03160,1728000,0.665318,0.719467,-3949079,0.357870,3109010,0.377429,1
15640500,18939800,14282200,0.00768,0.00005,0.00372,0.00399,0.01116,0.03995,0.34800,0.01721,0.02374,0.04310,0.05164,0.03365,1715300,0.649554,0.686080,-4554466,0.340176,2856676,0.322111,1
15384800,16573800,6578200,0.00840,0.00005,0.00428,0.00450,0.01285,0.03810,0.32800,0.01667,0.02383,0.04055,0.05000,0.03871,1753600,0.660125,0.704087,-4095442,0.262564,2739710,0.365391,1
15388000,17286000,7812800,0.00480,0.00003,0.00232,0.00267,0.00696,0.04137,0.37000,0.02021,0.02591,0.04525,0.06062,0.01849,1949300,0.629017,0.698951,-5186960,0.237622,2557536,0.259765,1
16793000,19322100,7906800,0.00442,0.00003,0.00220,0.00247,0.00661,0.04351,0.37700,0.02228,0.02540,0.04246,0.06685,0.01280,2246800,0.619060,0.679834,-4330956,0.262384,2916777,0.285695,1
17391700,19273500,8618000,0.00476,0.00003,0.00221,0.00258,0.00663,0.04192,0.36400,0.02187,0.02470,0.03772,0.06562,0.01840,2042200,0.537264,0.686894,-5248776,0.210279,2547508,0.253556,1
16365600,20084100,7677900,0.00742,0.00005,0.00380,0.00390,0.01140,0.01659,0.16400,0.00738,0.00948,0.01497,0.02214,0.01778,2383100,0.397937,0.732479,-5557447,0.220890,2692176,0.215961,1
10440000,20600200,7796800,0.00633,0.00006,0.00316,0.00375,0.00948,0.03767,0.38100,0.01732,0.02245,0.03780,0.05197,0.02887,2206600,0.522746,0.737948,-5571843,0.236853,2846369,0.219514,1
17104100,20831300,7550100,0.00455,0.00003,0.00250,0.00234,0.00750,0.01966,0.18600,0.00889,0.01169,0.01872,0.02666,0.01095,2590800,0.418622,0.720916,-6183590,0.226278,2589702,0.147403,1
14684500,20870100,8173700,0.00496,0.00003,0.00250,0.00275,0.00749,0.01919,0.19800,0.00883,0.01144,0.01826,0.02650,0.01328,2511900,0.358773,0.726652,-6271690,0.196102,2314209,0.162999,1
15535800,22738300,8005500,0.00310,0.00002,0.00159,0.00176,0.00476,0.01718,0.16100,0.00769,0.01012,0.01661,0.02307,0.00677,2597000,0.470478,0.676258,-7120925,0.279789,2241742,0.108514,1
16256800,19834600,7763000,0.00502,0.00003,0.00280,0.00253,0.00841,0.01791,0.16800,0.00793,0.01057,0.01799,0.02380,0.01170,2567800,0.427785,0.723797,-6635729,0.209866,1957961,0.135242,1
19707600,20689600,19205500,0.00289,0.00001,0.00166,0.00168,0.00498,0.01098,0.09700,0.00563,0.00680,0.00802,0.01689,0.00339,2677500,0.422229,0.741367,-7348300,0.177551,1743867,0.085569,0
19922800,20951200,19209100,0.00241,0.00001,0.00134,0.00138,0.00402,0.01015,0.08900,0.00504,0.00641,0.00762,0.01513,0.00167,3094000,0.432439,0.742055,-7682587,0.173319,2103106,0.068501,0
19838300,21520300,19310400,0.00212,0.00001,0.00113,0.00135,0.00339,0.01263,0.11100,0.00640,0.00825,0.00951,0.01919,0.00119,3077500,0.465946,0.738703,-7067931,0.175181,1512275,0.096320,0
20226600,21160400,19707900,0.00180,0.000009,0.00093,0.00107,0.00278,0.00954,0.08500,0.00469,0.00606,0.00719,0.01407,0.00072,3268400,0.368535,0.742133,-7695734,0.178540,1544609,0.056141,0
20318400,21152600,19616000,0.00178,0.000009,0.00094,0.00106,0.00283,0.00958,0.08500,0.00468,0.00610,0.00726,0.01403,0.00065,3304700,0.340068,0.741899,-7964984,0.163519,1423287,0.044539,0
20146400,21056500,19570800,0.00198,0.000010,0.00105,0.00115,0.00314,0.01194,0.10700,0.00586,0.00760,0.00957,0.01758,0.00135,3173200,0.344252,0.742737,-7777685,0.170183,2447064,0.057610,0
17787600,19292100,16801300,0.00411,0.00002,0.00233,0.00241,0.00700,0.02126,0.18900,0.01154,0.01347,0.01612,0.03463,0.00586,2321600,0.360148,0.778834,-6149653,0.218037,2477082,0.165827,1
17617000,18560400,16356400,0.00369,0.00002,0.00205,0.00218,0.00616,0.01851,0.16800,0.00938,0.01160,0.01491,0.02814,0.00340,2495100,0.341435,0.783626,-6006414,0.196371,2536527,0.173218,1
18019800,20124900,17545600,0.00284,0.00002,0.00153,0.00166,0.00459,0.01444,0.13100,0.00726,0.00885,0.01190,0.02177,0.00231,2673800,0.403884,0.766209,-6452058,0.212294,2269398,0.141929,1
18773300,20232400,17301500,0.00316,0.00002,0.00168,0.00182,0.00504,0.01663,0.15100,0.00829,0.01003,0.01366,0.02488,0.00265,2631000,0.396793,0.758324,-6006647,0.266892,2382544,0.160691,1
18616300,19772400,17758400,0.00298,0.00002,0.00165,0.00175,0.00496,0.01495,0.13500,0.00774,0.00941,0.01233,0.02321,0.00231,2682200,0.326480,0.765623,-6647379,0.201095,2374073,0.130554,1
18405500,19653700,16697700,0.00258,0.00001,0.00134,0.00147,0.00403,0.01463,0.13200,0.00742,0.00901,0.01234,0.02226,0.00257,2645300,0.306443,0.759203,-7044105,0.063412,2361532,0.115730,1
23722600,24732600,22522700,0.00298,0.00001,0.00169,0.00182,0.00507,0.01752,0.16400,0.01035,0.01024,0.01133,0.03104,0.00740,2273600,0.305062,0.654172,-7310550,0.098648,2416838,0.095032,0
24140400,24883400,23248300,0.00281,0.00001,0.00157,0.00173,0.00470,0.01760,0.15400,0.01006,0.01038,0.01251,0.03017,0.00675,2314500,0.457702,0.634267,-6793547,0.158266,2256699,0.117399,0
24343900,25091200,23243500,0.00210,0.000009,0.00109,0.00137,0.00327,0.01419,0.12600,0.00777,0.00898,0.01033,0.02330,0.00454,2536800,0.438296,0.635285,-7057869,0.091608,2330716,0.091470,0
24285200,25503400,22791100,0.00225,0.000009,0.00117,0.00139,0.00350,0.01494,0.13400,0.00847,0.00879,0.01014,0.02542,0.00476,2503200,0.431285,0.638928,-6995820,0.102083,2365800,0.102706,0
24551000,26209000,23184800,0.00235,0.000010,0.00127,0.00148,0.00380,0.01608,0.14100,0.00906,0.00977,0.01149,0.02719,0.00476,2460200,0.467489,0.631653,-7156076,0.127642,2392122,0.097336,0
25245500,26148700,18278600,0.00185,0.000007,0.00092,0.00113,0.00276,0.01152,0.10300,0.00614,0.00730,0.00860,0.01841,0.00432,2680500,0.610367,0.635204,-7319510,0.200873,2028612,0.086398,0
12218800,12861100,11576500,0.00524,0.00004,0.00169,0.00203,0.00507,0.01613,0.14300,0.00855,0.00776,0.01433,0.02566,0.00839,2316200,0.579597,0.733659,-6439398,0.266392,2079922,0.133867,0
12296400,13004900,11467600,0.00428,0.00003,0.00124,0.00155,0.00373,0.01681,0.15400,0.00930,0.00802,0.01400,0.02789,0.00462,2497100,0.538688,0.754073,-6482096,0.264967,2054419,0.128872,0
12444500,13506900,11749500,0.00431,0.00003,0.00141,0.00167,0.00422,0.02184,0.19700,0.01241,0.01024,0.01685,0.03724,0.00479,2513500,0.553134,0.775933,-6650471,0.254498,1840198,0.103561,0
12634400,13423100,11277300,0.00448,0.00004,0.00131,0.00169,0.00393,0.02033,0.18500,0.01143,0.00959,0.01614,0.03429,0.00474,2503000,0.507504,0.760361,-6689151,0.291954,2431854,0.105993,0
12800100,13805200,12208000,0.00436,0.00003,0.00137,0.00166,0.00411,0.02297,0.21000,0.01323,0.01072,0.01677,0.03969,0.00481,2469200,0.459766,0.766204,-7072419,0.220434,1972297,0.119308,0
12933600,13986700,11860400,0.00490,0.00004,0.00165,0.00183,0.00495,0.02498,0.22800,0.01396,0.01219,0.01947,0.04188,0.00484,2542900,0.420383,0.785714,-6836811,0.269866,2223719,0.147491,0
10880700,13465600,10287400,0.00761,0.00007,0.00349,0.00486,0.01046,0.02719,0.25500,0.01483,0.01609,0.02067,0.04450,0.01036,2102800,0.536009,0.819032,-4649573,0.205558,1986899,0.316700,1
10986000,12635800,10443700,0.00874,0.00008,0.00398,0.00539,0.01193,0.03209,0.30700,0.01789,0.01992,0.02454,0.05368,0.01180,2076700,0.558586,0.811843,-4333543,0.221727,2014606,0.344834,1
11041700,13106700,10337000,0.00784,0.00007,0.00352,0.00514,0.01056,0.03715,0.33400,0.02032,0.02302,0.02802,0.06097,0.00969,2142200,0.541781,0.821364,-4438453,0.238298,1922940,0.335041,1
11727400,12991600,11040200,0.00752,0.00006,0.00299,0.00469,0.00898,0.02293,0.22100,0.01189,0.01459,0.01948,0.03568,0.00681,2281700,0.530529,0.817756,-4608260,0.290024,2021591,0.314464,1
11687900,13189700,10815300,0.00788,0.00007,0.00334,0.00493,0.01003,0.02645,0.26500,0.01394,0.01625,0.02137,0.04183,0.00786,2260300,0.540049,0.813432,-4476755,0.262633,1827012,0.326197,1
11484700,27131400,10468000,0.00867,0.00008,0.00373,0.00520,0.01120,0.03225,0.35000,0.01805,0.01974,0.02519,0.05414,0.01143,2166000,0.547975,0.817396,-4609161,0.221711,1831691,0.316395,1
20914400,23749400,10937900,0.00282,0.00001,0.00147,0.00152,0.00442,0.01861,0.17000,0.00975,0.01258,0.01382,0.02925,0.00871,2555400,0.341788,0.678874,-7040508,0.066994,2460791,0.101516,0
22336500,23898700,9866400,0.00264,0.00001,0.00154,0.00151,0.00461,0.01906,0.16500,0.01013,0.01296,0.01340,0.03039,0.00301,2613800,0.447979,0.686264,-7293801,0.086372,2321560,0.098555,0
22223600,23134500,20549500,0.00266,0.00001,0.00152,0.00144,0.00457,0.01643,0.14500,0.00867,0.01108,0.01200,0.02602,0.00340,2585600,0.364867,0.694399,-6966321,0.095882,2278687,0.103224,0
22883200,23461900,22363400,0.00296,0.00001,0.00175,0.00155,0.00526,0.01644,0.14500,0.00882,0.01075,0.01179,0.02647,0.00351,2596400,0.256570,0.683296,-7245620,0.018689,2498224,0.093534,0
22940100,25222100,22115600,0.00205,0.000009,0.00114,0.00113,0.00342,0.01457,0.12900,0.00769,0.00957,0.01016,0.02308,0.00300,2641500,0.276850,0.673636,-7496264,0.056844,2003032,0.073581,0
22896900,23954100,11320100,0.00238,0.00001,0.00136,0.00140,0.00408,0.01745,0.15400,0.00942,0.01160,0.01234,0.02827,0.00420,2454700,0.305429,0.681811,-7314237,0.006274,2118596,0.091546,0
14034100,15977400,6702100,0.00817,0.00006,0.00430,0.00440,0.01289,0.03198,0.31300,0.01830,0.01810,0.02428,0.05490,0.02183,1956000,0.460139,0.720908,-5409423,0.226850,2359973,0.226156,1
13696900,16660700,6600400,0.00923,0.00007,0.00507,0.00463,0.01520,0.03111,0.30800,0.01638,0.01759,0.02603,0.04914,0.02659,1997900,0.498133,0.729067,-5324574,0.205660,2291558,0.226247,1
14353300,16221500,6580900,0.01101,0.00008,0.00647,0.00467,0.01941,0.05384,0.47800,0.03152,0.02422,0.03392,0.09455,0.04882,2033800,0.513237,0.731444,-5869750,0.151814,2118496,0.185580,1
14809000,16282400,6734300,0.00762,0.00005,0.00467,0.00354,0.01400,0.05428,0.49700,0.03357,0.02494,0.03635,0.10070,0.02431,2171800,0.487407,0.727313,-6261141,0.120956,2137075,0.141958,1
14272900,16240800,6547600,0.00831,0.00006,0.00469,0.00419,0.01407,0.03485,0.36500,0.01868,0.01906,0.02949,0.05605,0.02599,2026400,0.489345,0.730387,-5720868,0.158830,2277927,0.180828,1
13635800,17659500,6575000,0.00971,0.00007,0.00534,0.00478,0.01601,0.04978,0.48300,0.02749,0.02466,0.03736,0.08247,0.03361,1857000,0.543299,0.733232,-5207985,0.224852,2642276,0.242981,1
12008000,13971000,11120800,0.00405,0.00003,0.00180,0.00220,0.00540,0.01706,0.15200,0.00974,0.00925,0.01345,0.02921,0.00442,2574200,0.495954,0.762959,-5791820,0.329066,2205024,0.188180,1
11201400,58851800,10702400,0.00533,0.00005,0.00268,0.00329,0.00805,0.02448,0.22600,0.01373,0.01375,0.01956,0.04120,0.00623,2417800,0.509127,0.789532,-5389129,0.306636,1928708,0.225461,1
11079300,12810100,10731600,0.00494,0.00004,0.00260,0.00283,0.00780,0.02442,0.21600,0.01432,0.01325,0.01831,0.04295,0.00479,2543800,0.437031,0.815908,-5313360,0.201861,2225815,0.244512,1
11070700,12261100,10500700,0.00516,0.00005,0.00277,0.00289,0.00831,0.02215,0.20600,0.01284,0.01219,0.01715,0.03851,0.00472,2519700,0.463514,0.807217,-5477592,0.315074,1862092,0.228624,1
11287600,14882600,10698100,0.00500,0.00004,0.00270,0.00289,0.00810,0.03999,0.35000,0.02413,0.02231,0.02704,0.07238,0.00905,2337000,0.489538,0.789977,-5775966,0.341169,2007923,0.193918,1
11056800,12539400,10682100,0.00462,0.00004,0.00226,0.00280,0.00677,0.02199,0.19700,0.01284,0.01199,0.01636,0.03852,0.00420,2582000,0.429484,0.816340,-5391029,0.250572,1777901,0.232744,1
9538500,10214500,9026400,0.00608,0.00006,0.00331,0.00332,0.00994,0.03202,0.26300,0.01803,0.01886,0.02455,0.05408,0.01062,2187500,0.644954,0.779612,-5115212,0.249494,2017753,0.260015,1
10077000,11569700,8554500,0.01038,0.00010,0.00622,0.00576,0.01865,0.03121,0.36100,0.01773,0.01783,0.02139,0.05320,0.02220,1920000,0.594387,0.790117,-4913885,0.265699,2398422,0.277948,1
9610600,10866400,8451000,0.00694,0.00007,0.00389,0.00415,0.01168,0.04024,0.36400,0.02266,0.02451,0.02876,0.06799,0.01823,1905500,0.544805,0.770466,-4441519,0.155097,2645959,0.327978,1
9560500,10771500,8754900,0.00702,0.00007,0.00428,0.00371,0.01283,0.03156,0.29600,0.01792,0.01841,0.02190,0.05377,0.01825,1965900,0.576084,0.778747,-5132032,0.210458,2232576,0.260633,1
10096000,11001900,9562800,0.00606,0.00006,0.00351,0.00348,0.01053,0.02427,0.21600,0.01371,0.01421,0.01751,0.04114,0.01237,2053600,0.554610,0.787896,-5022288,0.146948,2428306,0.264666,1
9880400,10230500,8780400,0.00432,0.00004,0.00247,0.00258,0.00742,0.02223,0.20200,0.01277,0.01343,0.01552,0.03831,0.00882,2224400,0.576644,0.772416,-6025367,0.078202,2053601,0.177275,1
17685800,20556000,7534400,0.00747,0.00004,0.00418,0.00420,0.01254,0.04795,0.43500,0.02679,0.03022,0.03510,0.08037,0.05470,1389300,0.556494,0.729586,-5288912,0.343073,3099301,0.242119,1
18097800,20012500,15549500,0.00406,0.00002,0.00220,0.00244,0.00659,0.03852,0.33100,0.02107,0.02493,0.02877,0.06321,0.02782,1617600,0.583574,0.727747,-5657899,0.315903,3098256,0.200423,1
17822200,20245000,14104700,0.00321,0.00002,0.00163,0.00194,0.00488,0.03759,0.32700,0.02073,0.02415,0.02784,0.06219,0.03151,1592400,0.598714,0.712199,-6366916,0.335753,2654271,0.144614,1
17628100,22738100,12561000,0.00520,0.00003,0.00287,0.00312,0.00862,0.06511,0.58000,0.03671,0.04159,0.04683,0.11012,0.04824,1392200,0.602874,0.740837,-5515071,0.299549,3136550,0.220968,1
17389800,21135000,7467700,0.00448,0.00003,0.00237,0.00254,0.00710,0.06727,0.65000,0.03788,0.04254,0.04802,0.11363,0.04214,1473900,0.599371,0.743937,-5783272,0.299793,3007096,0.194052,1
17971100,22593000,14487800,0.00709,0.00004,0.00391,0.00419,0.01172,0.04313,0.44200,0.02297,0.02768,0.03455,0.06892,0.07223,1186600,0.590951,0.745526,-4379411,0.375531,3671155,0.332086,1
16660500,20600800,7803200,0.00742,0.00004,0.00387,0.00453,0.01161,0.06640,0.63400,0.03650,0.04282,0.05114,0.10949,0.08725,1174400,0.653410,0.733165,-4508984,0.389232,3317586,0.301952,1
15195500,16333500,14722600,0.00419,0.00003,0.00224,0.00227,0.00672,0.07959,0.77200,0.04421,0.04962,0.05690,0.13262,0.01658,1966400,0.501037,0.714360,-6411497,0.207156,2344876,0.134120,1
14827200,16498900,14229900,0.00459,0.00003,0.00250,0.00256,0.00750,0.04190,0.38300,0.02383,0.02521,0.03051,0.07150,0.01914,1878000,0.454444,0.734504,-5952058,0.087840,2344336,0.186489,1
15212500,16146900,7659600,0.00382,0.00003,0.00191,0.00226,0.00574,0.05925,0.63700,0.03341,0.03794,0.04398,0.10024,0.01211,2096900,0.447456,0.697790,-6152551,0.173520,2080121,0.160809,1
15782100,17297500,6840100,0.00358,0.00002,0.00196,0.00196,0.00587,0.03716,0.30700,0.02062,0.02321,0.02764,0.06185,0.00850,2221900,0.502380,0.712170,-6251425,0.188056,2143851,0.160812,1
15744700,16326700,14960500,0.00369,0.00002,0.00201,0.00197,0.00602,0.03272,0.28300,0.01813,0.01909,0.02571,0.05439,0.01018,2169300,0.447285,0.705658,-6247076,0.180528,2344348,0.164916,1
15911600,16891300,14481100,0.00342,0.00002,0.00178,0.00184,0.00535,0.03381,0.30700,0.01806,0.02024,0.02809,0.05417,0.00852,2266300,0.366329,0.693429,-6417440,0.194627,2473239,0.151709,1
12503600,14394600,11618700,0.01280,0.00010,0.00743,0.00623,0.02228,0.03886,0.34200,0.02135,0.02174,0.03088,0.06406,0.08151,1533800,0.629574,0.714485,-4020042,0.265315,2671825,0.340623,1
