@relation 'classificacao_imagem-weka.filters.unsupervised.attribute.Remove-R195-weka.filters.unsupervised.attribute.Remove-R207-weka.filters.unsupervised.attribute.Remove-R219-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute CoefficientVariation numeric
@attribute MedianDeviation numeric
@attribute StandardDeviation numeric
@attribute direction_0 numeric
@attribute direction_1 numeric
@attribute direction_2 numeric
@attribute direction_6 numeric
@attribute direction_7 numeric
@attribute fourier3 numeric
@attribute fourier5 numeric
@attribute fourier7 numeric
@attribute fourier9 numeric
@attribute QCCH0 numeric
@attribute QCCH2 numeric
@attribute QCCH3 numeric
@attribute QCCH5 numeric
@attribute QCCH8 numeric
@attribute QCCH10 numeric
@attribute QCCH14 numeric
@attribute QCCH18 numeric
@attribute QCCH26 numeric
@attribute QCCH33 numeric
@attribute QCCH35 numeric
@attribute QCCH36 numeric
@attribute QCCH38 numeric
@attribute QCCH39 numeric
@attribute HARALICKCorrelation0 numeric
@attribute HARALICKInformationMesuresofCorrelation1-0 numeric
@attribute HARALICKInformationMesuresofCorrelation2-0 numeric
@attribute HARALICKSumVariance45 numeric
@attribute HARALICKDifferenceVariance45 numeric
@attribute HARALICKDifferenceEntropy45 numeric
@attribute HARALICKAngular2ndMoment135 numeric
@attribute HARALICKSumAverage135 numeric
@attribute HARALICKDifferenceVariance135 numeric
@attribute vetor_caracteristica_4 numeric
@attribute vetor_caracteristica_20 numeric
@attribute vetor_caracteristica_21 numeric
@attribute vetor_caracteristica_25 numeric
@attribute vetor_caracteristica_36 numeric
@attribute vetor_caracteristica_40 numeric
@attribute vetor_caracteristica_41 numeric
@attribute vetor_caracteristica_42 numeric
@attribute vetor_caracteristica_46 numeric
@attribute vetor_caracteristica_47 numeric
@attribute vetor_caracteristica_59 numeric
@attribute vetor_caracteristica_62 numeric
@attribute vetor_caracteristica_63 numeric
@attribute vetor_caracteristica_68 numeric
@attribute vetor_caracteristica_80 numeric
@attribute vetor_caracteristica_84 numeric
@attribute vetor_caracteristica_85 numeric
@attribute vetor_caracteristica_105 numeric
@attribute vetor_caracteristica_106 numeric
@attribute vetor_caracteristica_126 numeric
@attribute vetor_caracteristica_127 numeric
@attribute histogram_acc0 numeric
@attribute histogram_acc16 numeric
@attribute histogram_acc21 numeric
@attribute histogram_acc24 numeric
@attribute histogram_acc36 numeric
@attribute histogram_acc37 numeric
@attribute histogram_acc43 numeric
@attribute histogram_acc63 numeric
@attribute classes {Acer-campestre,Acer-monspessulanum,Acer-negundo,Albizia-julibrissin,Alnus-cordata,Arbutus-unedo,Betula-pendula,Broussonetia-papyrifera,Buddleja-davidii,Buxus-sempervirens,Carpinus-betulus,Castanea-sativa,Celtis-australis,Cerasus-mahaleb,Corylus-avellana,Cotinus-coggygria,Crataegus-azarolus,Crataegus-monogyna,Daphne-cneorum,Diospyros-kaki,Euphorbia-characias,Ficus-carica,Fraxinus-angustifolia,Ginkgo-biloba,Hedera-helix,Ilex-aquifolium,Juniperus-oxycedrus,Laurus-nobilis,Nerium-oleander,Olea-europaea,Paliurus-spina-christi,Pistacia-lentiscus,Pistacia-terebinthus,Pittosporum-tenuifolium,Pittosporum-tobira,Platanus-x,Populus-alba,Populus-nigra,Populus-tremula,Prunus-laurocerasus,Punica-granatum,Quercus-coccifera,Quercus-ilex,Quercus-petraea,Quercus-pubescens,Rhamnus-alaternus,Rhus-coriaria,Robinia-pseudoacacia,Ruscus-aculeatus,Syringa-vulgaris,Ulmus-minor,Viburnum-tinus,Vitex-agnus-castus}

@data
0.689861,0.296199,0.320899,1158,416,1,0,410,0.220964,0.10335,0.044438,0.022298,372562,15394,16177,14384,7352,4412,1670,1017,480,315,334,670,412,518,0.000155,-0.581001,0.952106,107212,52.3613,1.17862,0.025661,892.338,76.509,18896,3702,824,460,314,146,911,1336,638,67,0,729,4938,36312,0,1571,40,15,357,10,406063,38285,13,864,69,322,159,7,411001,Acer-monspessulanum
0.762496,0.351928,0.365149,1214,362,6,3,360,0.099707,0.02842,0.082989,0.015254,245768,14137,16427,15573,8398,5112,2070,1616,1079,337,322,499,506,513,0.00017,-0.523645,0.913051,105998,54.5933,1.16459,0.033893,905.841,80.2897,14101,3993,1499,325,24,599,1665,1863,206,148,0,885,4595,22422,1,1503,121,451,271,25,316521,27314,10,1620,100,24,61,56,321116,Acer-monspessulanum
0.97179,0.336542,0.353104,1349,349,0,1,339,0.178244,0.066007,0.050853,0.005056,323302,12369,14213,13281,6878,3983,1285,804,537,380,354,598,575,784,0.000168,-0.524806,0.897826,107031,59.6758,1.04006,0.03591,910.602,86.59,14400,2727,1061,398,551,174,1239,1203,338,58,0,450,4795,28397,0,851,82,103,45,0,361633,29721,4,1143,81,609,305,11,366428,Acer-monspessulanum
0.793534,0.345127,0.36554,1178,370,0,0,362,0.210948,0.060586,0.039517,0.004721,273675,14393,16525,14437,7337,3987,1328,963,674,429,444,665,564,739,0.000177,-0.518087,0.881825,106228,60.0806,0.974586,0.037336,916.42,87.5811,11569,2619,772,333,598,142,914,842,330,22,0,501,4618,41833,0,674,1,23,0,0,333459,12164,2,773,136,684,219,3,338077,Acer-monspessulanum
0.753382,0.255336,0.29247,962,492,0,1,482,0.221587,0.090524,0.046405,0.025335,381427,10668,12357,11673,6458,3854,1455,959,581,332,221,464,412,830,0.000169,-0.528957,0.89302,107417,53.9404,0.979532,0.037195,913.473,77.0157,15750,2776,895,324,370,245,1087,1187,410,56,1,600,4835,24066,0,837,5,42,128,2,403350,39427,0,900,99,379,113,3,408185,Acer-monspessulanum
0.725921,0.30175,0.325217,1152,362,2,0,358,0.217489,0.104725,0.046086,0.01499,360246,10679,12626,11981,6607,3806,1274,726,512,393,372,632,504,522,0.000186,-0.525068,0.883556,105373,54.8224,0.945319,0.03767,921.696,77.6128,9319,3555,947,326,427,97,746,920,365,2,0,442,4703,56917,0,1200,8,46,16,0,386330,7243,0,955,116,435,495,1,391033,Acer-monspessulanum
1.32532,0.368003,0.389334,1256,322,0,2,310,0.103157,0.013083,0.059268,0.026391,247214,11798,14134,13042,7458,4634,1969,1377,835,422,372,537,432,1293,0.000168,-0.516529,0.88908,108398,78.7481,1.0235,0.036666,918.592,110.305,7821,2632,1194,242,26,365,855,1076,234,84,2,405,4480,4861,0,551,22,1,34,0,313150,43221,3,1216,189,26,74,17,317630,Acer-monspessulanum
0.786192,0.278689,0.305588,1122,533,4,1,531,0.081146,0.066378,0.074963,0.002701,310258,26596,22577,15575,6921,3673,1488,1072,821,364,310,653,391,185,0.000152,-0.617763,0.983415,106030,47.833,1.40456,0.010724,879.145,72.376,16801,4788,1496,300,573,28,757,2048,396,96,4,768,5176,22656,3,2413,141,7,873,18,384777,51882,92,1637,5,727,1153,27,389953,Acer-monspessulanum
0.851306,0.349426,0.373327,1071,344,1,1,336,0.153757,0.001341,0.07891,0.03105,305345,14530,15014,11679,4926,2975,1170,905,517,412,380,632,368,644,0.000194,-0.553353,0.892814,105782,52.7866,0.848892,0.037699,932.163,75.0171,10456,2504,681,311,361,229,1000,904,366,34,0,520,4475,32336,0,820,1,47,61,4,350594,16326,2,682,83,385,157,2,355069,Acer-monspessulanum
0.853889,0.34132,0.369233,1065,506,1,2,496,0.164855,0.031459,0.057766,0.014851,265787,14181,15865,15333,8595,5234,2072,1574,731,450,351,600,596,629,0.000149,-0.516878,0.911121,108216,62.1875,1.20196,0.03303,887.664,88.8286,15893,2829,1026,328,239,470,1159,1244,304,22,1,588,4747,17293,0,800,2,110,31,1,326453,44206,2,1028,144,250,269,5,331200,Acer-monspessulanum
0.64598,0.191295,0.240313,38,13,0,1,11,0.094572,0.175651,0.007449,0.007505,261330,11514,13028,13152,8364,5160,2178,1778,872,307,288,541,523,482,0.000178,-0.529324,0.907081,106313,48.6423,1.07809,0.035136,917.728,73.4583,14059,3888,894,301,11,399,1588,1592,215,40,2,1120,4559,12150,0,1763,11,584,911,2,323720,31648,0,905,81,11,6,14,328279,Acer-monspessulanum
0.675208,0.28962,0.309779,1133,434,1,0,428,0.177047,0.084088,0.040052,0.014117,346434,11264,13199,13911,9184,5839,2277,1100,646,304,297,591,378,523,0.00016,-0.532348,0.928711,106042,51.7466,1.23758,0.0308,892.822,79.4142,15990,4993,1120,456,755,44,505,1498,478,64,6,520,4907,50952,6,1866,117,2,261,2,381614,20973,108,1237,88,977,944,23,386521,Acer-monspessulanum
0.731116,0.273864,0.30117,1092,471,0,0,463,0.24534,0.096111,0.027118,0.011885,424441,11993,13717,12832,6816,3988,1457,953,687,392,344,479,399,780,0.000164,-0.552841,0.914717,107962,51.4382,1.00492,0.034268,909.589,75.3844,18579,2531,947,352,403,162,860,1167,462,74,1,641,5082,22478,0,990,14,12,82,1,446285,48836,99,961,102,424,93,5,451367,Acer-monspessulanum
0.660519,0.322279,0.356602,1373,412,10,2,420,0.151937,0.012266,0.034204,0.006685,278503,26528,18690,13743,6434,3746,1303,971,741,295,226,461,435,449,0.000177,-0.605682,0.978993,104757,45.995,1.38638,0.013828,906.651,69.6699,15297,2834,979,409,470,536,1995,2084,465,143,1,1403,4936,33680,0,897,201,301,822,93,379080,26086,0,1180,47,505,170,74,384016,Acer-monspessulanum
0.79462,0.296563,0.319831,1168,351,1,0,345,0.219962,0.091109,0.03829,0.007107,355182,14782,14535,10935,5218,3024,1173,941,590,335,308,468,338,521,0.000198,-0.588348,0.933754,105325,45.9317,0.940281,0.029961,933.035,66.9275,10954,2952,818,441,345,431,961,1168,530,83,0,725,4773,36794,0,1116,51,12,229,12,395070,17370,0,869,188,365,20,6,399843,Acer-monspessulanum
