@relation 'classificacao_imagem-weka.filters.unsupervised.attribute.Remove-R56,69,82-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute QCCH0 numeric
@attribute QCCH2 numeric
@attribute QCCH3 numeric
@attribute QCCH4 numeric
@attribute QCCH7 numeric
@attribute QCCH10 numeric
@attribute QCCH14 numeric
@attribute QCCH18 numeric
@attribute QCCH26 numeric
@attribute QCCH31 numeric
@attribute QCCH33 numeric
@attribute QCCH35 numeric
@attribute QCCH36 numeric
@attribute QCCH37 numeric
@attribute QCCH38 numeric
@attribute QCCH39 numeric
@attribute HARALICKAngular2ndMoment0 numeric
@attribute HARALICKInverseDiff.Moment0 numeric
@attribute HARALICKSumAverage0 numeric
@attribute HARALICKInformationMesuresofCorrelation10 numeric
@attribute HARALICKInformationMesuresofCorrelation20 numeric
@attribute HARALICKSumVariance45 numeric
@attribute HARALICKContrast135 numeric
@attribute HARALICKSumVariance135 numeric
@attribute HARALICKDifferenceVariance135 numeric
@attribute vetor_caracteristica_4 numeric
@attribute vetor_caracteristica_20 numeric
@attribute vetor_caracteristica_21 numeric
@attribute vetor_caracteristica_25 numeric
@attribute vetor_caracteristica_36 numeric
@attribute vetor_caracteristica_37 numeric
@attribute vetor_caracteristica_40 numeric
@attribute vetor_caracteristica_41 numeric
@attribute vetor_caracteristica_42 numeric
@attribute vetor_caracteristica_45 numeric
@attribute vetor_caracteristica_58 numeric
@attribute vetor_caracteristica_59 numeric
@attribute vetor_caracteristica_62 numeric
@attribute vetor_caracteristica_63 numeric
@attribute vetor_caracteristica_68 numeric
@attribute vetor_caracteristica_80 numeric
@attribute vetor_caracteristica_84 numeric
@attribute vetor_caracteristica_85 numeric
@attribute vetor_caracteristica_104 numeric
@attribute vetor_caracteristica_105 numeric
@attribute vetor_caracteristica_106 numeric
@attribute vetor_caracteristica_126 numeric
@attribute vetor_caracteristica_127 numeric
@attribute histogram_acc0 numeric
@attribute histogram_acc16 numeric
@attribute histogram_acc26 numeric
@attribute histogram_acc43 numeric
@attribute histogram_acc46 numeric
@attribute histogram_acc63 numeric
@attribute classes {Acer-campestre,Acer-monspessulanum,Acer-negundo,Albizia-julibrissin,Alnus-cordata,Arbutus-unedo,Betula-pendula,Broussonetia-papyrifera,Buddleja-davidii,Buxus-sempervirens,Carpinus-betulus,Castanea-sativa,Celtis-australis,Cerasus-mahaleb,Corylus-avellana,Cotinus-coggygria,Crataegus-azarolus,Crataegus-monogyna,Daphne-cneorum,Diospyros-kaki,Euphorbia-characias,Ficus-carica,Fraxinus-angustifolia,Ginkgo-biloba,Hedera-helix,Ilex-aquifolium,Juniperus-oxycedrus,Laurus-nobilis,Nerium-oleander,Olea-europaea,Paliurus-spina-christi,Pistacia-lentiscus,Pistacia-terebinthus,Pittosporum-tenuifolium,Pittosporum-tobira,Platanus-x,Populus-alba,Populus-nigra,Populus-tremula,Prunus-laurocerasus,Punica-granatum,Quercus-coccifera,Quercus-ilex,Quercus-petraea,Quercus-pubescens,Rhamnus-alaternus,Rhus-coriaria,Robinia-pseudoacacia,Ruscus-aculeatus,Syringa-vulgaris,Ulmus-minor,Viburnum-tinus,Vitex-agnus-castus}

@data
375430,28151,27106,21960,7991,3234,1232,1163,890,436,383,398,712,671,429,101,0.462715,0.777406,403.433,-0.51176,0.926054,105488,63.1432,459472,63.9727,36143,11316,1904,407,248,375,271,1595,1578,28,87,0,1406,5397,29529,0,5773,59,65,244,80,9,392546,60684,1,0,0,432,397943,Acer-campestre
190126,30999,28750,22732,7492,2791,1262,1057,725,448,441,424,872,817,710,1732,0.414693,0.790608,407.984,-0.527838,0.935187,110363,130.483,473483,131.661,7476,1643,1066,231,114,225,0,353,1203,0,93,1,365,4665,2143,469,178,4,0,0,54,0,276798,73788,1273,7,12,261,281463,Acer-campestre
316471,23475,22409,18989,7436,3278,1496,1159,740,417,374,375,638,489,482,2602,0.384892,0.791176,408.476,-0.543123,0.947077,110895,171.763,474904,173.212,12361,1607,944,360,49,103,1,332,1251,0,37,7,371,5348,6887,288,275,2,0,0,34,1,356775,87658,989,30,36,395,362123,Acer-campestre
275808,30539,29988,25243,10117,3580,1341,1010,842,664,563,523,873,708,674,1197,0.425523,0.77409,397.106,-0.522988,0.93879,103155,109.386,446531,110.608,34836,26886,2414,368,25,78,200,1414,1493,0,29,0,903,5616,23302,0,31037,128,43,209,1,0,323912,18680,0,0,0,311,329528,Acer-campestre
307224,39279,35599,27085,8637,3096,1191,970,748,535,411,403,812,747,685,1388,0.271923,0.733918,377.419,-0.530148,0.963102,104361,109.815,418843,111.106,39972,13305,1992,169,282,700,0,557,1361,0,132,1,559,5428,23653,6,4980,36,0,2,30,0,341333,88208,51,0,1,180,346761,Acer-campestre
250732,9968,12684,15082,12844,7178,2785,1787,997,459,350,278,600,594,561,589,0.552172,0.797611,429.043,-0.488527,0.896874,105932,88.4086,501204,89.6186,21169,4359,1266,408,314,603,276,995,1242,5,183,6,534,4614,33492,3,1209,19,79,150,111,0,316822,18203,23,10,10,255,321436,Acer-monspessulanum
406892,10909,13028,14329,12139,7007,2643,1600,691,344,332,275,527,584,549,962,0.516844,0.786249,418.329,-0.502137,0.917156,108821,88.0206,487642,89.2378,21115,3844,1356,282,520,753,65,640,1905,0,171,20,542,5354,12344,493,1026,171,8,42,755,3,430098,77205,1196,14,46,308,435452,Acer-monspessulanum
372562,15394,16177,16258,9633,4412,1670,1017,480,289,315,334,670,542,412,518,0.416444,0.808578,428.413,-0.581001,0.952106,107212,75.6689,501863,76.509,18896,3702,824,460,314,158,146,911,1336,0,65,0,729,4938,36312,0,1571,40,30,15,357,10,406063,38285,13,14,7,655,411001,Acer-monspessulanum
245768,14137,16427,16586,10946,5112,2070,1616,1079,497,337,322,499,456,506,513,0.548055,0.811765,434.872,-0.523645,0.913051,105998,79.3321,510994,80.2897,14101,3993,1499,325,24,61,599,1665,1863,29,123,0,885,4595,22422,1,1503,121,199,451,271,25,316521,27314,10,20,56,206,321116,Acer-monspessulanum
323302,12369,14213,14254,9019,3983,1285,804,537,370,380,354,598,544,575,784,0.579869,0.827404,437.167,-0.524806,0.897826,107031,85.7583,516236,86.59,14400,2727,1061,398,551,303,174,1239,1203,1,79,0,450,4795,28397,0,851,82,8,103,45,0,361633,29721,4,16,11,338,366428,Acer-monspessulanum
273675,14393,16525,16446,9460,3987,1328,963,674,523,429,444,665,686,564,739,0.602376,0.835693,439.951,-0.518087,0.881825,106228,86.8001,519850,87.5811,11569,2619,772,333,598,218,142,914,842,0,101,0,501,4618,41833,0,674,1,10,23,0,0,333459,12164,2,1,3,330,338077,Acer-monspessulanum
381427,10668,12357,12588,8115,3854,1455,959,581,391,332,221,464,359,412,830,0.600038,0.835073,438.552,-0.528957,0.89302,107417,76.283,519073,77.0157,15750,2776,895,324,370,113,245,1087,1187,3,51,1,600,4835,24066,0,837,5,87,42,128,2,403350,39427,0,4,3,410,408185,Acer-monspessulanum
360246,10679,12626,13034,8252,3806,1274,726,512,357,393,372,632,538,504,522,0.607378,0.838806,442.495,-0.525068,0.883556,105373,76.9096,522934,77.6128,9319,3555,947,326,427,461,97,746,920,0,149,0,442,4703,56917,0,1200,8,11,46,16,0,386330,7243,0,0,1,367,391033,Acer-monspessulanum
247214,11798,14134,13968,8963,4634,1969,1377,835,451,422,372,537,499,432,1293,0.592606,0.83391,440.987,-0.516529,0.88908,108398,109.326,524655,110.305,7821,2632,1194,242,26,74,365,855,1076,14,7,2,405,4480,4861,0,551,22,9,1,34,0,313150,43221,3,26,17,234,317630,Acer-monspessulanum
310258,26596,22577,19210,8995,3673,1488,1072,821,390,364,310,653,596,391,185,0.179342,0.775966,422.077,-0.617763,0.983415,106030,71.4521,489867,72.376,16801,4788,1496,300,573,824,28,757,2048,0,140,4,768,5176,22656,3,2413,141,0,7,873,18,384777,51882,92,26,27,399,389953,Acer-monspessulanum
305345,14530,15014,13638,6774,2975,1170,905,517,388,412,380,632,419,368,644,0.608247,0.853359,447.508,-0.553353,0.892814,105782,74.4572,532127,75.0171,10456,2504,681,311,361,156,229,1000,904,2,54,0,520,4475,32336,0,820,1,22,47,61,4,350594,16326,2,5,2,370,355069,Acer-monspessulanum
265787,14181,15865,16352,10806,5234,2072,1574,731,770,450,351,600,593,596,629,0.534483,0.805872,426.153,-0.516878,0.911121,108216,87.8113,499614,88.8286,15893,2829,1026,328,239,254,470,1159,1244,9,72,1,588,4747,17293,0,800,2,129,110,31,1,326453,44206,2,2,5,304,331200,Acer-monspessulanum
261330,11514,13028,13765,9950,5160,2178,1778,872,432,307,288,541,598,523,482,0.568972,0.823066,440.577,-0.529324,0.907081,106313,72.5903,521038,73.4583,14059,3888,894,301,11,6,399,1588,1592,62,114,2,1120,4559,12150,0,1763,11,115,584,911,2,323720,31648,0,3,14,215,328279,Acer-monspessulanum
346434,11264,13199,14342,10956,5839,2277,1100,646,322,304,297,591,582,378,523,0.498141,0.799001,428.641,-0.532348,0.928711,106042,78.3801,500628,79.4142,15990,4993,1120,456,755,786,44,505,1498,0,160,6,520,4907,50952,6,1866,117,3,2,261,2,381614,20973,108,4,23,484,386521,Acer-monspessulanum
424441,11993,13717,13740,8685,3988,1457,953,687,428,392,344,479,405,399,780,0.553097,0.831615,436.696,-0.552841,0.914717,107962,74.6624,516671,75.3844,18579,2531,947,352,403,93,162,860,1167,1,57,1,641,5082,22478,0,990,14,20,12,82,1,446285,48836,99,14,5,465,451367,Acer-monspessulanum
278503,26528,18690,15706,8496,3746,1303,971,741,402,295,226,461,518,435,449,0.228724,0.782275,435.276,-0.605682,0.978993,104757,68.791,509881,69.6699,15297,2834,979,409,470,170,536,1995,2084,8,314,1,1403,4936,33680,0,897,201,126,301,822,93,379080,26086,0,13,74,468,384016,Acer-monspessulanum
355182,14782,14535,13187,6916,3024,1173,941,590,338,335,308,468,353,338,521,0.485548,0.841416,447.936,-0.588348,0.933754,105325,66.3562,532186,66.9275,10954,2952,818,441,345,20,431,961,1168,3,40,0,725,4773,36794,0,1116,51,49,12,229,12,395070,17370,0,18,6,538,399843,Acer-monspessulanum
428907,17622,7689,5476,5128,4428,2873,2390,906,265,296,214,348,246,133,122,0.033167,0.807091,436.042,-0.699381,0.996733,86370.6,70.0405,485570,70.962,17370,16349,2199,983,207,797,17,508,1391,0,180,107,313,4751,6952,4,10163,144,4,12,316,0,527007,7319,151,25,173,99,531758,Acer-monspessulanum
345326,8314,10336,11306,9525,5373,1969,1067,796,313,281,225,477,459,399,554,0.596834,0.824512,439.519,-0.513434,0.890545,106066,72.2698,518849,73.144,18825,4133,1028,399,278,33,414,1233,1407,11,26,0,982,4858,25223,0,1571,8,67,105,158,11,374566,27264,0,3,12,417,379424,Acer-monspessulanum
335483,12501,13762,14024,9516,4869,1677,1112,826,282,286,217,608,632,360,142,0.540452,0.819015,436.491,-0.534269,0.911809,104980,56.2748,512230,56.9917,17041,5979,960,421,26,10,266,1452,1408,114,11,0,876,4722,46761,0,3079,17,57,1219,180,1,372195,10675,0,7,4,307,376917,Acer-monspessulanum
315622,13626,15685,15515,9780,4439,1602,936,573,459,393,322,598,660,507,589,0.568247,0.820282,435.096,-0.521752,0.902774,105670,84.396,510869,85.2652,13079,4661,1066,401,743,649,43,526,1264,0,196,10,419,4812,49299,48,1950,4,0,13,88,0,359264,11967,353,6,29,376,364076,Acer-monspessulanum
179981,17506,15651,14842,9615,4847,1995,1272,782,455,439,308,581,564,560,684,0.332279,0.798921,443.526,-0.561451,0.955326,104730,103.712,523934,104.845,10607,4342,713,189,101,53,346,1108,949,7,30,0,743,4423,24550,0,1490,2,2,15,119,3,276916,12087,13,2,9,263,281339,Acer-monspessulanum
294740,12900,14164,13703,7546,3224,1263,918,773,484,354,266,722,778,460,821,0.628792,0.854131,450.699,-0.539459,0.880278,105558,92.1953,537342,92.9037,9501,2127,1023,284,796,824,47,783,1209,0,207,1,411,4584,29157,0,751,111,0,3,22,1,345580,14716,38,17,30,264,350164,Acer-monspessulanum
344154,15247,17658,17995,12869,6361,2270,1481,778,332,369,314,514,368,340,1121,0.346785,0.758862,401.153,-0.537664,0.956526,111669,88.2868,464544,89.5693,9586,2618,1248,228,142,25,620,975,1601,2,11,3,539,4947,3470,1,901,22,166,118,212,4,378676,108416,33,25,27,339,383623,Acer-monspessulanum
403806,14256,16678,17460,12640,5903,2086,1216,749,402,339,328,735,550,315,163,0.504605,0.788309,417.44,-0.539149,0.934037,107048,61.9079,483745,62.8027,26638,4804,1232,394,1081,1343,258,988,1493,1,866,24,1154,5404,33021,0,2372,48,346,113,433,126,426849,53812,20,23,9,317,432253,Acer-monspessulanum
395645,13482,8461,7104,7244,6493,4412,4007,1327,462,386,280,467,280,176,187,0.081318,0.765731,439.523,-0.645693,0.993809,95994.6,95.689,504827,97.4519,25685,28624,3207,2933,215,484,62,1026,1357,6,442,208,461,4971,9880,4,15122,178,8,25,473,1,462722,4429,233,38,155,136,467693,Acer-monspessulanum
250041,45828,25513,18301,10255,4863,1855,1224,742,333,280,309,642,610,342,97,0.056343,0.710288,420.852,-0.583437,0.98979,106053,62.4475,487895,63.6133,12883,3831,1507,419,272,358,89,723,2008,0,128,6,956,4950,8627,1057,1094,378,55,37,2151,146,406818,68876,1762,18,26,623,411768,Acer-monspessulanum
200440,20942,19406,17799,9708,4478,1775,1361,796,449,490,479,738,428,458,608,0.300444,0.789472,434.58,-0.565182,0.961267,106081,93.0267,510653,94.0826,13357,3697,988,272,321,448,441,947,1248,1,95,0,540,4507,17874,0,1690,44,67,62,77,0,298427,27891,57,16,11,313,302934,Acer-monspessulanum
279891,10968,13298,13974,9730,4737,1738,1071,596,408,438,362,802,688,538,611,0.605628,0.835199,441.729,-0.51497,0.882774,106487,89.4408,523233,90.295,13953,2506,836,318,312,232,104,806,978,3,87,0,450,4424,29507,0,654,57,27,9,6,5,334941,19655,10,10,9,333,339365,Acer-monspessulanum
431956,10910,13344,14076,10863,5861,2374,1382,765,414,280,264,557,610,539,492,0.557808,0.808926,426.107,-0.524273,0.911763,108869,71.2047,500339,72.0863,17283,3722,1474,363,243,371,36,543,1837,0,144,12,576,5244,12102,957,1777,76,5,18,541,13,451691,73612,1718,13,35,324,456935,Acer-monspessulanum
233603,64050,34469,23501,13363,6739,2485,1711,741,398,324,294,574,548,382,164,0.026377,0.649379,400.624,-0.563014,0.992672,105288,64.7861,454829,66.3155,17841,3927,1686,425,60,151,1,579,2676,0,149,7,1270,5464,10730,1535,1303,561,0,19,3316,126,439785,98657,2290,60,23,661,445249,Acer-monspessulanum
393219,14648,16237,17186,12217,6769,2630,1698,936,389,325,274,596,566,370,198,0.362121,0.775654,411.964,-0.562187,0.958171,108576,66.4176,477137,67.4745,23552,5610,1478,494,375,13,443,1134,1731,0,48,5,912,5180,22437,3,2268,136,197,63,759,19,422136,73578,52,23,15,367,427316,Acer-monspessulanum
263921,22538,20001,17962,8678,3347,1086,749,782,537,470,365,664,225,37,0,0.065586,0.755415,429.217,-0.622657,0.99022,96303,56.2939,488091,57.1209,907,5851,2627,80,39,371,17,1479,1653,0,253,0,1186,4784,107,2,72242,424,0,618,9,2,346312,782,144,0,0,98,351096,Acer-monspessulanum
