@relation 'classificacao_imagem-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute CoefficientVariation numeric
@attribute Median numeric
@attribute MedianDeviation numeric
@attribute direction_0 numeric
@attribute direction_7 numeric
@attribute fourier2 numeric
@attribute fourier5 numeric
@attribute fourier13 numeric
@attribute fourier21 numeric
@attribute fourier28 numeric
@attribute QCCH0 numeric
@attribute QCCH2 numeric
@attribute QCCH3 numeric
@attribute QCCH4 numeric
@attribute QCCH8 numeric
@attribute QCCH10 numeric
@attribute QCCH14 numeric
@attribute QCCH18 numeric
@attribute QCCH26 numeric
@attribute QCCH32 numeric
@attribute QCCH33 numeric
@attribute QCCH35 numeric
@attribute QCCH36 numeric
@attribute QCCH37 numeric
@attribute QCCH38 numeric
@attribute QCCH39 numeric
@attribute HARALICKSumAverage0 numeric
@attribute HARALICKInformationMesuresofCorrelation1-0 numeric
@attribute HARALICKInformationMesuresofCorrelation2-0 numeric
@attribute HARALICKSumVariance45 numeric
@attribute HARALICKDifferenceEntropy90 numeric
@attribute HARALICKAngular2ndMoment135 numeric
@attribute HARALICKContrast135 numeric
@attribute HARALICKSumVariance135 numeric
@attribute HARALICKDifferenceVariance135 numeric
@attribute vetor_caracteristica_4 numeric
@attribute vetor_caracteristica_5 numeric
@attribute vetor_caracteristica_20 numeric
@attribute vetor_caracteristica_21 numeric
@attribute vetor_caracteristica_25 numeric
@attribute vetor_caracteristica_36 numeric
@attribute vetor_caracteristica_37 numeric
@attribute vetor_caracteristica_40 numeric
@attribute vetor_caracteristica_41 numeric
@attribute vetor_caracteristica_42 numeric
@attribute vetor_caracteristica_45 numeric
@attribute vetor_caracteristica_47 numeric
@attribute vetor_caracteristica_59 numeric
@attribute vetor_caracteristica_62 numeric
@attribute vetor_caracteristica_63 numeric
@attribute vetor_caracteristica_68 numeric
@attribute vetor_caracteristica_80 numeric
@attribute vetor_caracteristica_84 numeric
@attribute vetor_caracteristica_85 numeric
@attribute vetor_caracteristica_104 numeric
@attribute vetor_caracteristica_105 numeric
@attribute vetor_caracteristica_106 numeric
@attribute vetor_caracteristica_126 numeric
@attribute vetor_caracteristica_127 numeric
@attribute histogram_acc0 numeric
@attribute histogram_acc16 numeric
@attribute histogram_acc21 numeric
@attribute histogram_acc43 numeric
@attribute histogram_acc46 numeric
@attribute histogram_acc58 numeric
@attribute histogram_acc63 numeric
@attribute classes {Acer-campestre,Acer-monspessulanum,Acer-negundo,Albizia-julibrissin,Alnus-cordata,Arbutus-unedo,Betula-pendula,Broussonetia-papyrifera,Buddleja-davidii,Buxus-sempervirens,Carpinus-betulus,Castanea-sativa,Celtis-australis,Cerasus-mahaleb,Corylus-avellana,Cotinus-coggygria,Crataegus-azarolus,Crataegus-monogyna,Daphne-cneorum,Diospyros-kaki,Euphorbia-characias,Ficus-carica,Fraxinus-angustifolia,Ginkgo-biloba,Hedera-helix,Ilex-aquifolium,Juniperus-oxycedrus,Laurus-nobilis,Nerium-oleander,Olea-europaea,Paliurus-spina-christi,Pistacia-lentiscus,Pistacia-terebinthus,Pittosporum-tenuifolium,Pittosporum-tobira,Platanus-x,Populus-alba,Populus-nigra,Populus-tremula,Prunus-laurocerasus,Punica-granatum,Quercus-coccifera,Quercus-ilex,Quercus-petraea,Quercus-pubescens,Rhamnus-alaternus,Rhus-coriaria,Robinia-pseudoacacia,Ruscus-aculeatus,Syringa-vulgaris,Ulmus-minor,Viburnum-tinus,Vitex-agnus-castus}

@data
0.689267,0.363162,0.208972,1097,260,0.153238,0.022343,0.002141,0.001518,0.000011,261154,29161,29047,23857,6011,3165,1306,1017,707,466,426,401,766,897,943,1104,399.726,-0.506635,0.934293,106399,1.36484,0.026411,108.772,455065,109.991,17327,0,4815,1080,394,118,324,0,732,1310,2,20,2,605,5182,75686,297,1823,12,0,0,281,0,314914,18606,1149,1092,13,254,101,320096,Acer-campestre
0.710059,0.434173,0.277732,575,508,0.032822,0.02108,0.002193,0.001057,0.001052,201917,23881,23847,20452,5480,2846,1000,866,458,308,344,338,812,910,851,2042,430.34,-0.509882,0.896337,105820,0.946091,0.033695,144.478,503253,145.531,6309,0,2711,775,250,148,162,51,504,740,0,18,0,353,4662,55350,1,1022,4,0,0,0,0,279830,5058,135,779,15,223,40,284492,Acer-campestre
0.440647,0.675595,0.262585,216,73,0.100183,0.022965,0.004326,0.00178,0.000528,176095,24003,28077,27583,11515,6134,2092,1253,788,499,438,407,767,692,703,875,400.611,-0.531411,0.947907,103527,1.45201,0.024921,96.7827,452490,98.0872,31291,0,20084,1966,379,0,11,121,1320,1051,13,0,0,907,4858,24578,0,14008,231,4,688,23,0,271531,16622,0,2197,0,397,12,276389,Acer-campestre
0.63084,0.511087,0.294421,557,518,0.00294,0.028851,0.004335,0.000987,0.000596,173557,39321,29763,20235,4888,3053,1430,1082,656,353,336,324,656,605,663,3267,395.864,-0.551643,0.959065,110258,1.2785,0.020449,220.356,454594,221.901,10186,8,920,822,206,0,45,8,191,1002,0,35,3,236,4906,6620,434,116,0,0,7,53,0,265998,78164,1268,822,17,333,35,270904,Acer-campestre
0.61171,0.502211,0.274911,340,579,0.046287,0.023011,0.003519,0.001488,0.000606,355633,14264,14595,12518,4497,2557,1136,1000,753,589,522,370,667,372,83,23,458.151,-0.545083,0.87974,95771.1,0.624973,0.039703,71.3533,536735,71.9115,355,0,10239,1293,3426,51,901,1101,2098,665,114,0,0,1095,5247,124,0,36134,457,1051,199,5,2,384001,103,1,1750,0,222,333,389248,Acer-campestre
0.640881,0.518362,0.305327,497,537,0.050016,0.035812,0.005466,0.001885,0.000488,185827,42179,27126,18636,4324,2646,1196,969,784,454,535,458,867,857,793,1018,417.456,-0.602325,0.991652,103279,1.57981,0.001867,112.065,478648,113.284,12997,14,3212,1196,503,20,111,0,727,1817,1,66,8,867,5066,38152,924,525,48,0,4,502,41,318356,26600,1920,1244,42,633,82,323422,Acer-campestre
0.568206,0.455017,0.229362,915,342,0.089461,0.031246,0.004983,0.001561,0.000064,204058,25857,27147,25646,9000,4933,1674,1131,770,462,473,493,989,755,543,528,408.292,-0.603824,0.990229,99360.6,1.66912,0.005981,115.754,458656,117.201,11566,3,12594,550,485,74,114,26,953,1023,35,12,6,918,5059,63108,219,14752,0,0,5,64,2,290709,1632,858,550,9,491,71,295768,Acer-campestre
0.542999,0.423891,0.195616,985,320,0.161275,0.030411,0.001204,0.001321,0.00066,275753,33557,30251,23473,5838,3240,1353,1235,1051,438,393,350,810,729,657,906,398.9,-0.561517,0.972384,106962,1.50178,0.016523,112.521,454566,113.824,17451,0,4710,1249,633,86,173,1,769,1830,2,80,3,896,5656,51746,211,1677,3,0,3,185,10,342661,49212,917,1252,17,698,67,348317,Acer-campestre
0.490302,0.534824,0.230105,415,564,0.009036,0.026581,0.00144,0.000132,0.000373,332386,26600,23690,18303,4546,2654,1227,1022,756,325,328,329,502,518,570,2674,409.782,-0.591962,0.971692,109272,1.22114,0.015287,167.284,474696,168.539,16875,4,1463,963,342,50,48,9,261,1304,1,44,4,315,5393,12648,566,181,8,0,0,185,0,370368,81370,1303,971,6,388,48,375761,Acer-campestre
0.691584,0.485386,0.306112,694,484,0.01843,0.02621,0.004963,0.001969,0.000017,132265,35918,28709,19596,3747,2266,855,948,570,356,379,389,860,964,863,1692,409.026,-0.590139,0.981878,102619,1.41838,0.008672,142.349,464444,143.68,18784,0,14284,1795,122,134,989,0,804,1015,0,0,1,486,4600,25471,0,10833,90,0,18,4,0,223768,6723,4,1885,0,126,107,228368,Acer-campestre
0.570478,0.537549,0.280697,621,412,0.026743,0.031347,0.00349,0.001586,0.001366,221051,33407,28618,21613,5223,2935,1272,1004,574,313,309,278,620,461,530,2347,407.132,-0.62505,0.986312,107787,1.31142,0.010049,152.464,468529,153.664,13569,2,1767,911,307,0,41,0,261,1244,0,57,1,313,4826,22538,4,1059,2,0,3,222,0,305768,57658,143,913,10,443,28,310594,Acer-campestre
0.427774,0.549649,0.190403,829,406,0.028726,0.041321,0.005378,0.00109,0.000144,281083,38423,33069,25741,5890,3192,1296,1028,706,533,494,508,876,931,688,1119,383.872,-0.578337,0.986095,105934,1.69391,0.007581,116.577,430496,118.005,25571,4,4180,1222,620,8,88,0,663,1604,1,42,4,863,5663,50830,346,1819,55,0,2,304,4,339510,63467,1041,1277,30,638,52,345173,Acer-campestre
0.406536,0.632479,0.206593,1010,327,0.051528,0.032555,0.000879,0.003665,0.000924,337061,30071,31526,28510,10417,5394,1824,1297,1261,729,647,491,578,77,5,0,390.488,-0.536565,0.977172,98159.9,1.82769,0.009482,63.2377,429516,64.6178,31674,0,40215,3001,1196,134,346,90,2283,2422,0,1,0,1750,6171,21134,0,84698,217,2,898,137,2,372058,895,0,3218,0,853,116,378229,Acer-campestre
0.642725,0.456232,0.266766,611,471,0.097531,0.023221,0.00104,0.002607,0.000181,197026,25301,23796,18734,5155,2844,1263,1082,676,401,406,331,756,706,636,2851,426.288,-0.512281,0.902643,108186,0.971821,0.032973,188.807,499866,190.08,13985,7,1650,739,297,9,18,153,534,842,0,39,0,294,4739,20034,0,787,0,1,13,8,0,276536,33235,1,739,20,296,10,281275,Acer-campestre
0.523838,0.479419,0.218954,782,381,0.008498,0.039993,0.001147,0.001442,0.000257,156990,55267,35354,25089,6705,3863,1613,1144,941,457,433,421,753,715,572,436,389.852,-0.559893,0.991466,103087,2.02699,0.0012,91.1803,435464,92.7742,20638,0,3752,1497,720,3,68,0,937,2261,0,91,3,1456,5288,34851,322,718,220,0,27,1251,114,324121,58488,878,1717,20,899,57,329409,Acer-campestre
0.732367,0.447487,0.295031,648,521,0.046249,0.026791,0.002126,0.000159,0.000496,142085,31456,30625,24941,5752,3000,1234,1023,783,526,484,460,846,871,736,460,410.026,-0.509447,0.932981,103782,1.30185,0.02767,108.164,467601,109.384,17359,0,10966,1034,293,511,673,49,1084,891,0,0,0,879,4628,36875,0,9948,10,0,16,4,2,238340,7898,24,1044,0,242,194,242968,Acer-campestre
0.553785,0.486111,0.235415,673,462,0.008933,0.012068,0.000351,0.001078,0.00022,332698,23106,22308,18076,5046,2937,1246,969,799,575,599,421,861,694,671,444,420.326,-0.547394,0.931997,107962,1.06876,0.029131,87.2162,489723,88.1015,20010,15,2968,1402,459,90,264,0,651,1889,1,57,5,635,5199,19167,1004,274,29,0,5,398,1,371315,56359,2022,1431,47,523,117,376514,Acer-campestre
0.582864,0.500173,0.25802,663,453,0.085603,0.033751,0.004819,0.00099,0.000684,230005,39437,32133,22808,5089,3028,1312,1065,625,355,373,323,719,624,783,2814,393.47,-0.524755,0.944562,107349,1.29919,0.024009,178.33,446860,179.719,17713,7,2130,911,294,36,60,1,319,889,0,46,3,271,5099,65113,232,379,0,0,0,22,0,300485,35372,851,911,14,318,28,305584,Acer-campestre
0.656899,0.485891,0.289897,510,560,0.037246,0.016376,0.001056,0.000066,0.000856,182299,39005,29651,20653,4624,2833,1366,1062,768,417,427,424,954,761,576,1087,409.269,-0.595194,0.984195,108513,1.43658,0.005989,111.069,472913,112.202,8245,5,1318,1238,420,62,201,0,494,1685,0,72,12,608,4827,6487,1068,67,8,0,4,502,3,296857,69378,2017,1246,28,515,103,301684,Acer-campestre
0.387298,0.55804,0.174487,830,328,0.032336,0.016405,0.001145,0.002744,0.000806,375430,28151,27106,21960,5838,3234,1232,1163,890,440,383,398,712,671,429,101,403.433,-0.51176,0.926054,105488,1.21548,0.028691,63.1432,459472,63.9727,36143,0,11316,1904,407,248,375,271,1595,1578,28,0,0,1406,5397,29529,0,5773,59,65,244,80,9,392546,60684,1,1963,0,432,87,397943,Acer-campestre
0.62513,0.46879,0.264736,618,459,0.074455,0.029992,0.003397,0.000625,0.00025,190126,30999,28750,22732,5301,2791,1262,1057,725,460,441,424,872,817,710,1732,407.984,-0.527838,0.935187,110363,1.21559,0.025513,130.483,473483,131.661,7476,2,1643,1066,231,114,225,0,353,1203,0,22,1,365,4665,2143,469,178,4,0,0,54,0,276798,73788,1273,1070,12,261,93,281463,Acer-campestre
0.59802,0.559392,0.308919,474,527,0.015792,0.034515,0.00722,0.002359,0.000635,316471,23475,22409,18989,5545,3278,1496,1159,740,395,374,375,638,489,482,2602,408.476,-0.543123,0.947077,110895,1.23587,0.023792,171.763,474904,173.212,12361,13,1607,944,360,49,103,1,332,1251,0,82,7,371,5348,6887,288,275,2,0,0,34,1,356775,87658,989,946,36,395,37,362123,Acer-campestre
0.430808,0.494716,0.166313,796,385,0.099456,0.035256,0.001068,0.000756,0.000786,275808,30539,29988,25243,6985,3580,1341,1010,842,599,563,523,873,708,674,1197,397.106,-0.522988,0.93879,103155,1.3811,0.026317,109.386,446531,110.608,34836,0,26886,2414,368,25,78,200,1414,1493,0,0,0,903,5616,23302,0,31037,128,43,209,1,0,323912,18680,0,2542,0,311,29,329528,Acer-campestre
0.465447,0.499158,0.191688,1004,329,0.0963,0.033707,0.00304,0.001315,0.000558,307224,39279,35599,27085,5929,3096,1191,970,748,494,411,403,812,747,685,1388,377.419,-0.530148,0.963102,104361,1.54813,0.016761,109.815,418843,111.106,39972,0,13305,1992,169,282,700,0,557,1361,0,2,1,559,5428,23653,6,4980,36,0,2,30,0,341333,88208,51,2028,1,180,132,346761,Acer-campestre
0.632402,0.543081,0.316351,476,509,0.033419,0.033539,0.003552,0.001023,0.000165,250732,9968,12684,15082,11095,7178,2785,1787,997,381,350,278,600,594,561,589,429.043,-0.488527,0.896874,105932,1.1326,0.034213,88.4086,501204,89.6186,21169,0,4359,1266,408,314,603,276,995,1242,5,51,6,534,4614,33492,3,1209,19,79,150,111,0,316822,18203,23,1285,10,255,183,321436,Acer-monspessulanum
0.768161,0.382041,0.23873,809,396,0.053583,0.031467,0.002014,0.001157,0.000221,406892,10909,13028,14329,10480,7007,2643,1600,691,333,332,275,527,584,549,962,418.329,-0.502137,0.917156,108821,1.21712,0.032016,88.0206,487642,89.2378,21115,1,3844,1356,282,520,753,65,640,1905,0,57,20,542,5354,12344,493,1026,171,8,42,755,3,430098,77205,1196,1527,46,308,171,435452,Acer-monspessulanum
0.573073,0.486253,0.246995,437,537,0.090538,0.042692,0.001734,0.000144,0.00086,372562,15394,16177,16258,7352,4412,1670,1017,480,310,315,334,670,542,412,518,428.413,-0.581001,0.952106,107212,1.05559,0.025661,75.6689,501863,76.509,18896,0,3702,824,460,314,158,146,911,1336,0,67,0,729,4938,36312,0,1571,40,30,15,357,10,406063,38285,13,864,7,655,65,411001,Acer-monspessulanum
0.663427,0.488786,0.297237,504,563,0.016792,0.015291,0.001514,0.00098,0.000666,245768,14137,16427,16586,8398,5112,2070,1616,1079,332,337,322,499,456,506,513,434.872,-0.523645,0.913051,105998,1.02071,0.033893,79.3321,510994,80.2897,14101,3,3993,1499,325,24,61,599,1665,1863,29,148,0,885,4595,22422,1,1503,121,199,451,271,25,316521,27314,10,1620,56,206,123,321116,Acer-monspessulanum
0.642001,0.520069,0.308622,462,556,0.091475,0.055339,0.001028,0.000811,0.001192,323302,12369,14213,14254,6878,3983,1285,804,537,391,380,354,598,544,575,784,437.167,-0.524806,0.897826,107031,0.870277,0.03591,85.7583,516236,86.59,14400,0,2727,1061,398,551,303,174,1239,1203,1,58,0,450,4795,28397,0,851,82,8,103,45,0,361633,29721,4,1143,11,338,79,366428,Acer-monspessulanum
0.598755,0.556103,0.306826,420,527,0.016394,0.040594,0.003619,0.000856,0.000716,273675,14393,16525,16446,7337,3987,1328,963,674,509,429,444,665,686,564,739,439.951,-0.518087,0.881825,106228,0.795788,0.037336,86.8001,519850,87.5811,11569,1,2619,772,333,598,218,142,914,842,0,22,0,501,4618,41833,0,674,1,10,23,0,0,333459,12164,2,773,3,330,101,338077,Acer-monspessulanum
0.560329,0.455746,0.211515,325,603,0.121758,0.018662,0.000676,0.001625,0.000157,381427,10668,12357,12588,6458,3854,1455,959,581,373,332,221,464,359,412,830,438.552,-0.528957,0.89302,107417,0.807805,0.037195,76.283,519073,77.0157,15750,7,2776,895,324,370,113,245,1087,1187,3,56,1,600,4835,24066,0,837,5,87,42,128,2,403350,39427,0,900,3,410,51,408185,Acer-monspessulanum
0.603597,0.526536,0.288268,406,495,0.010957,0.029979,0.008149,0.000363,0.000387,360246,10679,12626,13034,6607,3806,1274,726,512,404,393,372,632,538,504,522,442.495,-0.525068,0.883556,105373,0.766154,0.03767,76.9096,522934,77.6128,9319,0,3555,947,326,427,461,97,746,920,0,2,0,442,4703,56917,0,1200,8,11,46,16,0,386330,7243,0,955,1,367,149,391033,Acer-monspessulanum
0.751227,0.447271,0.305252,547,554,0.059326,0.02589,0.003142,0.000762,0.000002,247214,11798,14134,13968,7458,4634,1969,1377,835,504,422,372,537,499,432,1293,440.987,-0.516529,0.88908,108398,0.845045,0.036666,109.326,524655,110.305,7821,2,2632,1194,242,26,74,365,855,1076,14,84,2,405,4480,4861,0,551,22,9,1,34,0,313150,43221,3,1216,17,234,7,317630,Acer-monspessulanum
0.586398,0.454385,0.234427,433,662,0.029833,0.010736,0.000722,0.001501,0.000349,310258,26596,22577,19210,6921,3673,1488,1072,821,367,364,310,653,596,391,185,422.077,-0.617763,0.983415,106030,1.33467,0.010724,71.4521,489867,72.376,16801,2,4788,1496,300,573,824,28,757,2048,0,96,4,768,5176,22656,3,2413,141,0,7,873,18,384777,51882,92,1637,27,399,140,389953,Acer-monspessulanum
0.516413,0.514726,0.228151,618,404,0.094056,0.017752,0.00123,0.001505,0.000001,305345,14530,15014,13638,4926,2975,1170,905,517,397,412,380,632,419,368,644,447.508,-0.553353,0.892814,105782,0.64857,0.037699,74.4572,532127,75.0171,10456,0,2504,681,311,361,156,229,1000,904,2,34,0,520,4475,32336,0,820,1,22,47,61,4,350594,16326,2,682,2,370,54,355069,Acer-monspessulanum
0.662544,0.424676,0.253364,573,542,0.112207,0.034973,0.003507,0.001821,0.000511,265787,14181,15865,16352,8595,5234,2072,1574,731,501,450,351,600,593,596,629,426.153,-0.516878,0.911121,108216,1.08043,0.03303,87.8113,499614,88.8286,15893,0,2829,1026,328,239,254,470,1159,1244,9,22,1,588,4747,17293,0,800,2,129,110,31,1,326453,44206,2,1028,5,304,72,331200,Acer-monspessulanum
0.66086,0.401208,0.232367,65,37,0.016843,0.030375,0.001718,0.000021,0.000809,261330,11514,13028,13765,8364,5160,2178,1778,872,363,307,288,541,598,523,482,440.577,-0.529324,0.907081,106313,0.931277,0.035136,72.5903,521038,73.4583,14059,0,3888,894,301,11,6,399,1588,1592,62,40,2,1120,4559,12150,0,1763,11,115,584,911,2,323720,31648,0,905,14,215,114,328279,Acer-monspessulanum
0.635282,0.481481,0.274167,449,546,0.05734,0.044605,0.002073,0.001243,0.000898,346434,11264,13199,14342,9184,5839,2277,1100,646,316,304,297,591,582,378,523,428.641,-0.532348,0.928711,106042,1.11914,0.0308,78.3801,500628,79.4142,15990,0,4993,1120,456,755,786,44,505,1498,0,64,6,520,4907,50952,6,1866,117,3,2,261,2,381614,20973,108,1237,23,484,160,386521,Acer-monspessulanum
0.586826,0.502029,0.26606,587,442,0.065512,0.040715,0.001212,0.000629,0.000246,424441,11993,13717,13740,6816,3988,1457,953,687,423,392,344,479,405,399,780,436.696,-0.552841,0.914717,107962,0.840432,0.034268,74.6624,516671,75.3844,18579,1,2531,947,352,403,93,162,860,1167,1,74,1,641,5082,22478,0,990,14,20,12,82,1,446285,48836,99,961,5,465,57,451367,Acer-monspessulanum
0.6395,0.488502,0.287939,559,488,0.017603,0.032211,0.004249,0.000638,0.000078,278503,26528,18690,15706,6434,3746,1303,971,741,329,295,226,461,518,435,449,435.276,-0.605682,0.978993,104757,1.29818,0.013828,68.791,509881,69.6699,15297,0,2834,979,409,470,170,536,1995,2084,8,143,1,1403,4936,33680,0,897,201,126,301,822,93,379080,26086,0,1180,74,468,314,384016,Acer-monspessulanum
