@relation 'classificacao_imagem-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute vetor_caracteristica_0 numeric
@attribute vetor_caracteristica_4 numeric
@attribute vetor_caracteristica_20 numeric
@attribute vetor_caracteristica_21 numeric
@attribute vetor_caracteristica_25 numeric
@attribute vetor_caracteristica_36 numeric
@attribute vetor_caracteristica_41 numeric
@attribute vetor_caracteristica_42 numeric
@attribute vetor_caracteristica_46 numeric
@attribute vetor_caracteristica_58 numeric
@attribute vetor_caracteristica_59 numeric
@attribute vetor_caracteristica_62 numeric
@attribute vetor_caracteristica_63 numeric
@attribute vetor_caracteristica_68 numeric
@attribute vetor_caracteristica_84 numeric
@attribute vetor_caracteristica_85 numeric
@attribute vetor_caracteristica_105 numeric
@attribute vetor_caracteristica_106 numeric
@attribute vetor_caracteristica_127 numeric
@attribute histogram_acc0 numeric
@attribute histogram_acc16 numeric
@attribute histogram_acc40 numeric
@attribute histogram_acc43 numeric
@attribute histogram_acc47 numeric
@attribute histogram_acc57 numeric
@attribute histogram_acc63 numeric
@attribute classes {Acer-campestre,Acer-monspessulanum,Acer-negundo,Albizia-julibrissin,Alnus-cordata,Arbutus-unedo,Betula-pendula,Broussonetia-papyrifera,Buddleja-davidii,Buxus-sempervirens,Carpinus-betulus,Castanea-sativa,Celtis-australis,Cerasus-mahaleb,Corylus-avellana,Cotinus-coggygria,Crataegus-azarolus,Crataegus-monogyna,Daphne-cneorum,Diospyros-kaki,Euphorbia-characias,Ficus-carica,Fraxinus-angustifolia,Ginkgo-biloba,Hedera-helix,Ilex-aquifolium,Juniperus-oxycedrus,Laurus-nobilis,Nerium-oleander,Olea-europaea,Paliurus-spina-christi,Pistacia-lentiscus,Pistacia-terebinthus,Pittosporum-tenuifolium,Pittosporum-tobira,Platanus-x,Populus-alba,Populus-nigra,Populus-tremula,Prunus-laurocerasus,Punica-granatum,Quercus-coccifera,Quercus-ilex,Quercus-petraea,Quercus-pubescens,Rhamnus-alaternus,Rhus-coriaria,Robinia-pseudoacacia,Ruscus-aculeatus,Syringa-vulgaris,Ulmus-minor,Viburnum-tinus,Vitex-agnus-castus}

@data
11825,9586,2618,1248,228,142,975,1601,339,11,3,539,4947,3470,901,22,118,212,378676,108416,33,786,27,63,9,383623,Acer-monspessulanum
21340,26638,4804,1232,394,1081,988,1493,313,866,24,1154,5404,33021,2372,48,113,433,426849,53812,20,604,9,69,18,432253,Acer-monspessulanum
3478,25685,28624,3207,2933,215,1026,1357,136,442,208,461,4971,9880,15122,178,25,473,462722,4429,233,70,155,36,257,467693,Acer-monspessulanum
11782,12883,3831,1507,419,272,723,2008,615,128,6,956,4950,8627,1094,378,37,2151,406818,68876,1762,144,26,46,3,411768,Acer-monspessulanum
10015,13357,3697,988,272,321,947,1248,312,95,0,540,4507,17874,1690,44,62,77,298427,27891,57,508,11,74,1,302934,Acer-monspessulanum
9988,13953,2506,836,318,312,806,978,333,87,0,450,4424,29507,654,57,9,6,334941,19655,10,131,9,60,0,339365,Acer-monspessulanum
16751,17283,3722,1474,363,243,543,1837,324,144,12,576,5244,12102,1777,76,18,541,451691,73612,1718,41,35,51,4,456935,Acer-monspessulanum
17733,17841,3927,1686,425,60,579,2676,652,149,7,1270,5464,10730,1303,561,19,3316,439785,98657,2290,1,23,160,0,445249,Acer-monspessulanum
19450,23552,5610,1478,494,375,1134,1731,367,48,5,912,5180,22437,2268,136,63,759,422136,73578,52,640,15,90,12,427316,Acer-monspessulanum
583,907,5851,2627,80,39,1479,1653,98,253,0,1186,4784,107,72242,424,618,9,346312,782,144,17,0,1,0,351096,Acer-monspessulanum
13620,19258,5120,1087,383,97,1610,1575,438,47,0,980,4837,31874,2771,113,395,563,366242,34143,23,1029,6,45,15,371079,Acer-monspessulanum
12015,19650,5039,883,375,431,1325,1245,348,76,0,912,4796,41218,1803,56,145,338,350941,19462,0,819,2,35,297,355737,Acer-monspessulanum
11753,11630,3589,1110,308,169,657,1964,536,156,6,869,4982,5967,1660,101,15,1342,433771,72694,1596,21,7,75,2,438753,Acer-monspessulanum
11531,11093,3364,976,190,799,622,1322,208,103,3,427,4748,8042,1702,20,1,262,349769,55955,237,232,26,56,5,354517,Acer-monspessulanum
3976,6866,2102,843,324,536,701,1109,499,92,6,414,4379,29258,611,50,9,90,282236,8750,0,146,16,98,6,286615,Acer-monspessulanum
3736,10372,5751,706,360,18,1442,983,301,5,0,1145,4620,43554,4227,4,325,45,323012,5402,0,421,3,24,17,327632,Acer-monspessulanum
11098,13795,3332,1037,165,886,694,1580,234,169,4,592,4789,22034,879,55,14,382,338077,33985,1404,211,34,96,26,342866,Acer-monspessulanum
9955,15450,4910,872,382,78,1038,1171,381,20,2,717,4765,31889,2304,30,29,199,366065,20560,85,839,7,31,4,370830,Acer-monspessulanum
19442,17277,2868,1288,299,631,605,1836,365,158,14,737,5355,9989,678,67,14,529,471040,83803,1691,110,50,71,15,476395,Acer-monspessulanum
12566,17842,5880,968,255,628,710,1259,142,113,1,531,4752,25216,4330,23,5,91,386102,29316,178,130,11,32,8,390854,Acer-monspessulanum
7059,20655,17331,2038,642,251,1071,1825,77,383,259,588,5120,9494,9994,127,14,478,493860,11862,356,141,236,44,610,498980,Acer-monspessulanum
6313,23657,22571,3277,2267,228,714,1318,142,142,85,365,4934,7938,10202,133,27,333,542474,8872,262,9,119,59,93,547408,Acer-monspessulanum
9550,30818,25727,2999,1253,419,818,1720,194,261,103,846,5253,15500,16310,308,21,370,492031,14646,924,92,123,74,494,497284,Acer-monspessulanum
15624,17421,2923,1198,291,623,616,1388,244,248,12,516,4791,18725,1042,2,27,123,397836,45991,1185,196,1,8,9,402627,Acer-monspessulanum
12749,17304,5418,1201,265,113,1320,1321,260,61,0,764,4628,15446,2990,18,586,145,348740,33055,0,532,13,35,33,353368,Acer-monspessulanum
15626,16247,3234,1211,257,621,1219,1326,193,115,3,655,4900,20483,1023,44,113,165,334318,47062,963,546,26,56,81,339218,Acer-monspessulanum
21835,23847,4956,1485,481,203,731,1832,426,108,11,497,5193,23310,2215,118,43,795,458664,70442,1366,12,28,101,3,463857,Acer-monspessulanum
4364,9635,3630,914,363,643,969,1002,391,79,0,551,4780,55939,1192,39,50,20,344319,7364,15,120,4,38,5,349099,Acer-monspessulanum
22556,34435,5793,1502,729,0,606,2221,1065,4,2,991,6335,82711,1294,68,6,531,450670,33107,2,0,18,92,0,457005,Acer-negundo
11910,23825,7175,1059,503,0,575,1608,794,15,5,860,5970,72685,1992,11,1,281,442040,16285,100,1,24,73,0,448010,Acer-negundo
8820,17295,5340,1010,544,0,642,1885,780,19,11,1190,6479,75293,1241,6,1,192,461371,12111,65,0,28,47,0,467850,Acer-negundo
22478,30769,4385,976,527,0,416,1485,789,3,0,744,5584,50600,821,7,0,146,408296,35795,101,0,7,77,0,413880,Acer-negundo
16757,17021,2698,785,269,12,547,970,325,163,18,816,5161,17546,203,1,0,21,311372,51138,368,3,1,8,0,316533,Acer-negundo
10231,21317,6805,923,593,0,638,1650,716,4,0,797,6006,94282,2224,2,7,226,371280,12751,0,23,6,124,0,377286,Acer-negundo
201,17933,25877,526,787,0,1007,938,773,2,0,1351,6169,15969,64265,2,11,49,464886,215,10,54,3,28,0,471055,Acer-negundo
8236,16917,8024,1161,711,3,746,1800,629,43,3,804,6143,102880,4193,39,0,114,423774,12079,1097,0,22,116,0,429917,Acer-negundo
12361,11211,2024,584,292,0,570,833,347,15,3,879,5243,5489,340,0,3,56,340603,46612,19,0,3,7,0,345846,Acer-negundo
23524,26669,2969,1023,396,0,467,1268,466,12,0,744,5953,38651,625,0,0,94,421902,51500,34,0,3,10,0,427855,Acer-negundo
833,23170,23877,1747,897,0,967,2291,970,59,17,1776,6250,47665,16639,85,0,264,407904,861,87,1,37,44,0,414154,Acer-negundo
9794,12461,1984,429,358,0,632,699,342,3,0,676,4424,22038,179,1,2,78,268292,19879,3,3,2,5,0,272716,Acer-negundo
11859,19075,5935,1226,625,0,661,1771,677,37,2,847,6233,99326,2341,65,3,247,443886,21578,778,0,34,65,0,450119,Acer-negundo
3874,11505,6489,970,545,0,653,1572,760,1,1,867,5387,64617,2494,19,1,100,362675,4856,88,31,26,79,0,368062,Acer-negundo
13970,25722,6097,1081,483,0,524,1411,506,2,0,852,6250,95252,1530,2,0,75,430901,19311,18,10,4,34,0,437151,Acer-negundo
3394,8951,4814,751,508,2,674,948,536,4,0,758,5849,67627,1407,0,0,7,407414,4161,199,13,5,30,0,413263,Acer-negundo
1012,21919,20027,746,823,5,1093,2206,1012,88,9,1684,6851,68355,14018,7,0,378,452028,1093,505,4,13,45,0,458879,Acer-negundo
664,22238,21016,972,553,12,670,1302,623,42,3,1153,6018,69592,16224,20,1,129,381851,747,625,11,13,62,0,387869,Acer-negundo
4223,17137,10492,890,560,39,692,1348,649,22,4,828,5541,71475,4830,2,3,116,328976,5423,50,35,15,39,0,334517,Acer-negundo
5704,18221,11302,791,525,12,674,1100,502,29,0,623,5711,81960,6563,2,0,18,379657,8141,856,5,7,60,0,385368,Acer-negundo
4283,14792,7804,860,554,0,669,1353,582,2,0,693,5427,80669,2923,4,6,181,292620,5337,0,48,10,65,0,298047,Acer-negundo
11716,17683,4615,883,467,1,737,1391,468,74,9,1001,5539,52922,1022,6,1,294,352687,20436,411,5,7,40,0,358226,Acer-negundo
7912,13512,4573,1032,404,65,597,1188,348,58,5,630,5747,76930,1169,13,1,14,380796,12581,784,6,26,51,1,386543,Acer-negundo
20578,19413,2185,793,303,1,448,946,245,32,0,604,5044,16669,467,6,2,55,307770,60080,100,0,0,2,0,312814,Acer-negundo
6097,11593,4403,793,578,0,623,1332,676,10,0,717,5900,93801,1329,2,1,76,409973,8593,189,0,9,71,0,415873,Acer-negundo
6308,12380,4080,672,498,0,693,1250,454,64,1,860,5607,75681,1048,0,2,202,375912,8110,360,1,1,28,1,381519,Acer-negundo
7518,13791,5379,990,508,2,706,1547,532,64,7,881,6000,77532,2784,3,0,80,407466,13614,1335,0,16,60,1,413466,Acer-negundo
1075,22831,20347,733,572,0,713,1376,675,15,1,1218,6010,66438,16184,0,0,121,412108,1139,59,12,16,41,0,418118,Acer-negundo
31562,24760,11042,6724,1498,2,2193,5841,886,235,21,1927,10980,6986,693,18,2,203,257445,64524,383,16,32,24,0,268425,Albizia-julibrissin
27173,20459,6257,4933,2681,0,2331,4970,2201,22,2,2031,10196,1967,209,0,3,58,354606,44296,20,12,9,40,0,364802,Albizia-julibrissin
38455,58877,28082,4977,1783,89,3193,4743,1291,59,7,3194,11691,34865,4372,15,11,133,258889,62369,85,129,19,28,0,270580,Albizia-julibrissin
28345,46965,23709,5697,4511,0,4883,5843,2206,50,11,3530,10949,18600,2044,40,33,675,320574,38896,41,3,30,18,0,331523,Albizia-julibrissin
22151,38577,51201,3736,877,950,4928,4560,573,499,33,3849,8943,17903,37969,52,177,456,219371,26253,2440,735,47,30,11,228314,Albizia-julibrissin
45938,49177,31797,5930,1692,412,4605,6542,1118,466,39,4262,13160,13069,6672,25,44,369,291486,72802,3162,321,32,75,7,304646,Albizia-julibrissin
46943,54623,31261,5937,1837,481,4076,5699,974,368,33,3471,11874,19581,5988,25,16,349,313250,68500,1644,567,64,62,10,325124,Albizia-julibrissin
22978,39306,27914,5809,2861,2,3862,4777,1097,84,12,2538,7749,13888,4362,30,58,571,205287,29832,159,7,30,19,0,213036,Albizia-julibrissin
28090,30384,10159,3549,2234,0,2220,3194,1303,72,4,1973,8358,6504,678,3,1,36,331652,39098,48,0,14,16,0,340010,Albizia-julibrissin
21032,23298,12108,3291,2079,0,2974,2987,1138,11,1,1932,7457,3223,535,1,1,24,354699,25764,11,0,8,5,0,362156,Albizia-julibrissin
29194,17977,7063,6480,2851,0,2629,6065,2549,12,0,2464,12856,1148,503,13,0,32,334647,44087,14,1,6,33,0,347503,Albizia-julibrissin
25919,38584,17824,3510,2674,4,3148,3390,1135,65,5,2064,7733,11602,1509,1,16,87,259005,32042,88,9,8,12,1,266738,Albizia-julibrissin
28964,45759,27899,3720,2344,4,2836,2843,687,121,5,1876,6433,19942,4512,20,19,166,196384,38093,195,65,16,16,0,202817,Albizia-julibrissin
37817,30859,13348,8242,3169,0,3220,6343,1469,56,11,2316,9380,4282,1060,30,4,237,232179,67569,51,3,15,14,0,241559,Albizia-julibrissin
38059,32504,11289,4190,1312,0,2095,4201,970,36,8,2160,9518,6821,1274,14,8,247,252275,93169,24,75,16,20,0,261793,Albizia-julibrissin
27328,34782,12558,5697,3661,0,3324,4843,1844,40,6,2368,10090,9761,619,15,2,36,258569,36117,53,6,6,20,0,268659,Albizia-julibrissin
21528,37250,22937,3748,2854,7,3957,3255,1270,38,2,2323,7439,9209,2218,1,18,88,335856,24774,44,12,11,11,0,343295,Albizia-julibrissin
15248,34211,30978,2945,3195,3,5579,4831,1302,75,10,3997,8029,11572,6956,17,160,651,230575,17650,65,31,25,13,0,238604,Albizia-julibrissin
31009,19695,12778,7205,1668,3,2660,6693,1161,133,26,2705,12870,2923,1794,37,1,296,255299,76107,333,10,46,40,0,268169,Albizia-julibrissin
42266,36555,9742,2759,945,14,1349,2492,759,34,4,1473,7201,8627,846,11,49,69,283375,103355,48,135,12,12,1,290576,Albizia-julibrissin
31673,34820,14064,5704,2468,0,2245,4479,1539,43,4,1927,11330,10665,1156,19,2,56,228597,56425,189,18,8,22,0,239927,Albizia-julibrissin
39815,47662,17189,3229,1423,78,2522,3278,932,72,5,2371,8525,20777,2183,14,8,162,235380,64757,87,204,16,29,0,243905,Albizia-julibrissin
3570,5718,36172,2544,1650,68,7709,3699,662,210,7,4959,10208,190,53804,7,140,62,319766,3730,224,944,3,4,0,329974,Albizia-julibrissin
24703,33835,15089,4214,3183,0,3019,3206,1311,10,2,2109,9087,10055,1345,18,6,37,323025,31633,8,8,13,15,0,332112,Albizia-julibrissin
20658,37384,18963,4152,2268,2,2353,3538,1021,52,5,1948,8202,20243,2568,3,2,43,220574,25823,139,50,26,19,0,228776,Albizia-julibrissin
44678,35432,26515,4550,1005,104,2990,4201,528,352,20,2121,7747,7045,4887,68,46,713,309955,82941,3253,81,36,53,1,317702,Albizia-julibrissin
11495,31381,26707,2360,2690,37,4935,2959,1017,62,4,2608,6381,11325,5888,4,105,169,272718,12657,25,93,11,8,0,279099,Albizia-julibrissin
28585,20193,6410,4491,1986,0,1758,3546,1194,11,0,1657,7380,1670,612,3,0,125,277539,56121,3,2,3,17,0,284919,Albizia-julibrissin
20511,36992,30233,2697,2046,0,3078,2640,712,40,5,1904,6172,8178,5756,15,40,168,151560,23965,72,15,16,28,0,157732,Albizia-julibrissin
13922,45769,33332,2612,4504,0,4488,2519,1917,4,0,2870,8076,38162,11428,1,75,71,252715,16166,0,55,2,10,0,260791,Albizia-julibrissin
22162,38437,17832,4364,3350,12,3930,4522,1622,69,11,2834,8509,22096,2461,31,80,261,221133,30209,128,116,24,40,0,229642,Albizia-julibrissin
41059,35231,19352,7751,1659,1,2653,6149,996,127,22,2492,10575,6292,2600,59,4,482,247108,77927,523,37,32,34,0,257683,Albizia-julibrissin
35943,24818,10906,5803,1712,1,2335,4824,996,28,3,1842,7752,3806,979,20,11,244,218531,82168,29,97,17,17,0,226283,Albizia-julibrissin
26678,42516,38043,3969,1276,191,4021,4135,652,214,10,3262,9392,18542,13795,13,130,234,241899,33359,802,334,21,13,3,251291,Albizia-julibrissin
32543,22154,7706,6305,3832,0,3065,5580,2512,23,1,2269,11654,1769,285,0,0,24,323098,50936,27,14,9,38,0,334752,Albizia-julibrissin
40588,41908,18349,3650,997,29,2089,4107,705,120,21,2072,7482,16353,2760,70,17,607,225815,81062,280,4,42,44,0,233297,Albizia-julibrissin
372,1066,14567,19933,8863,1,7701,2955,585,4,0,893,4153,440,37221,20953,11411,1613,181996,868,102,1,10,184,0,186149,Alnus-cordata
23,242,9119,21263,11017,0,5256,1877,589,3,0,659,4184,81,10625,49096,3014,429,210352,23,0,1,1,78,0,214536,Alnus-cordata
313,406,18192,34766,20548,31,14387,3180,552,77,10,882,4933,70,43200,52914,21734,2703,218819,518,847,15,98,259,0,223752,Alnus-cordata
47,16,5372,2865,21060,116,20387,1615,1335,30,0,1625,4536,0,5501,871,67141,1122,211563,47,82,324,26,250,16,216099,Alnus-cordata
295,2499,24885,21181,3138,0,1904,1996,587,6,0,604,4395,943,57645,19694,969,1388,231297,432,20,4,67,429,0,235692,Alnus-cordata
3889,12152,30366,21932,1905,0,1293,2040,416,1,0,338,4394,5526,43280,49843,347,1604,229670,13518,3,0,44,163,0,234064,Alnus-cordata
242,743,18166,35938,17322,18,8464,2731,771,9,0,1062,4748,388,28107,58156,7766,2987,228125,395,23,0,33,472,7,232873,Alnus-cordata
26,129,15301,29096,14921,0,8240,1997,602,5,0,932,4622,40,20909,49975,6271,1545,234441,37,1,11,7,257,8,239063,Alnus-cordata
155,2197,23598,19002,1385,0,1513,1855,602,1,0,597,4423,1076,85143,18471,779,1173,210214,287,4,9,29,290,0,214637,Alnus-cordata
8,166,17829,28843,9270,1,5023,1949,530,14,0,871,4433,181,21871,65106,2828,784,194633,8,15,0,61,283,8,199066,Alnus-cordata
