@relation 'classificacao_imagem-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute Median numeric
@attribute direction_0 numeric
@attribute direction_1 numeric
@attribute direction_2 numeric
@attribute direction_6 numeric
@attribute direction_7 numeric
@attribute fourier3 numeric
@attribute fourier6 numeric
@attribute QCCH0 numeric
@attribute QCCH2 numeric
@attribute QCCH3 numeric
@attribute QCCH4 numeric
@attribute QCCH5 numeric
@attribute QCCH8 numeric
@attribute QCCH11 numeric
@attribute QCCH14 numeric
@attribute QCCH18 numeric
@attribute QCCH26 numeric
@attribute QCCH33 numeric
@attribute QCCH35 numeric
@attribute QCCH36 numeric
@attribute QCCH37 numeric
@attribute QCCH38 numeric
@attribute QCCH39 numeric
@attribute HARALICKInformationMesuresofCorrelation1-0 numeric
@attribute HARALICKInformationMesuresofCorrelation2-0 numeric
@attribute HARALICKSumVariance45 numeric
@attribute HARALICKDifferenceVariance45 numeric
@attribute HARALICKDifferenceEntropy45 numeric
@attribute HARALICKSumAverage90 numeric
@attribute HARALICKAngular2ndMoment135 numeric
@attribute HARALICKSumVariance135 numeric
@attribute HARALICKDifferenceVariance135 numeric
@attribute vetor_caracteristica_4 numeric
@attribute vetor_caracteristica_5 numeric
@attribute vetor_caracteristica_20 numeric
@attribute vetor_caracteristica_21 numeric
@attribute vetor_caracteristica_25 numeric
@attribute vetor_caracteristica_36 numeric
@attribute vetor_caracteristica_37 numeric
@attribute vetor_caracteristica_40 numeric
@attribute vetor_caracteristica_41 numeric
@attribute vetor_caracteristica_42 numeric
@attribute vetor_caracteristica_46 numeric
@attribute vetor_caracteristica_47 numeric
@attribute vetor_caracteristica_58 numeric
@attribute vetor_caracteristica_59 numeric
@attribute vetor_caracteristica_62 numeric
@attribute vetor_caracteristica_63 numeric
@attribute vetor_caracteristica_80 numeric
@attribute vetor_caracteristica_84 numeric
@attribute vetor_caracteristica_85 numeric
@attribute vetor_caracteristica_104 numeric
@attribute vetor_caracteristica_105 numeric
@attribute vetor_caracteristica_106 numeric
@attribute vetor_caracteristica_126 numeric
@attribute vetor_caracteristica_127 numeric
@attribute histogram_acc0 numeric
@attribute histogram_acc4 numeric
@attribute histogram_acc16 numeric
@attribute histogram_acc21 numeric
@attribute histogram_acc24 numeric
@attribute histogram_acc36 numeric
@attribute histogram_acc43 numeric
@attribute histogram_acc63 numeric
@attribute classes {Acer-campestre,Acer-monspessulanum,Acer-negundo,Albizia-julibrissin,Alnus-cordata,Arbutus-unedo,Betula-pendula,Broussonetia-papyrifera,Buddleja-davidii,Buxus-sempervirens,Carpinus-betulus,Castanea-sativa,Celtis-australis,Cerasus-mahaleb,Corylus-avellana,Cotinus-coggygria,Crataegus-azarolus,Crataegus-monogyna,Daphne-cneorum,Diospyros-kaki,Euphorbia-characias,Ficus-carica,Fraxinus-angustifolia,Ginkgo-biloba,Hedera-helix,Ilex-aquifolium,Juniperus-oxycedrus,Laurus-nobilis,Nerium-oleander,Olea-europaea,Paliurus-spina-christi,Pistacia-lentiscus,Pistacia-terebinthus,Pittosporum-tenuifolium,Pittosporum-tobira,Platanus-x,Populus-alba,Populus-nigra,Populus-tremula,Prunus-laurocerasus,Punica-granatum,Quercus-coccifera,Quercus-ilex,Quercus-petraea,Quercus-pubescens,Rhamnus-alaternus,Rhus-coriaria,Robinia-pseudoacacia,Ruscus-aculeatus,Syringa-vulgaris,Ulmus-minor,Viburnum-tinus,Vitex-agnus-castus}

@data
0.269579,2026,538,17,6,552,0.250762,0.036958,261154,29161,29047,23857,17602,6011,2514,1306,1017,707,426,401,766,897,943,1104,-0.506635,0.934293,106399,69.0437,1.42728,732.763,0.026411,455065,109.991,17327,0,4815,1080,394,118,324,0,732,1310,254,20,101,2,605,5182,297,1823,12,0,0,281,0,314914,18606,93013,1149,1092,40,119,13,320096,Acer-campestre
0.332983,1744,363,13,4,373,0.299996,0.089522,201917,23881,23847,20452,15056,5480,2105,1000,866,458,344,338,812,910,851,2042,-0.509882,0.896337,105820,106.303,1.10174,788.953,0.033695,503253,145.531,6309,0,2711,775,250,148,162,51,504,740,223,18,40,0,353,4662,1,1022,4,0,0,0,0,279830,5058,61659,135,779,17,148,15,284492,Acer-campestre
0.476046,199,67,3,0,65,0.07399,0.152357,176095,24003,28077,27583,23982,11515,4565,2092,1253,788,438,407,767,692,703,875,-0.531411,0.947907,103527,64.8097,1.4828,734.416,0.024921,452490,98.0872,31291,0,20084,1966,379,0,11,121,1320,1051,397,0,12,0,907,4858,0,14008,231,4,688,23,0,271531,16622,55869,0,2197,303,0,0,276389,Acer-campestre
0.222737,2103,265,11,5,269,0.302205,0.12833,173557,39321,29763,20235,13465,4888,2567,1430,1082,656,336,324,656,605,663,3267,-0.551643,0.959065,110258,161.301,1.38361,725.725,0.020449,454594,221.901,10186,8,920,822,206,0,45,8,191,1002,333,35,35,3,236,4906,434,116,0,0,7,53,0,265998,78164,16806,1268,822,0,0,17,270904,Acer-campestre
0.213811,2161,403,27,11,427,0.264972,0.007753,355633,14264,14595,12518,10393,4497,2061,1136,1000,753,522,370,667,372,83,23,-0.545083,0.87974,95771.1,51.2733,0.820472,839.889,0.039703,536735,71.9115,355,0,10239,1293,3426,51,901,1101,2098,665,222,0,333,0,1095,5247,0,36134,457,1051,199,5,2,384001,103,479,1,1750,13839,51,0,389248,Acer-campestre
0.204008,1974,332,16,4,348,0.437849,0.202526,185827,42179,27126,18636,12567,4324,2166,1196,969,784,535,458,867,857,793,1018,-0.602325,0.991652,103279,80.9836,1.61609,765.293,0.001867,478648,113.284,12997,14,3212,1196,503,20,111,0,727,1817,624,66,82,8,867,5066,924,525,48,0,4,502,41,318356,26600,51149,1920,1244,6,21,42,323422,Acer-campestre
0.19568,2087,465,14,7,471,0.300491,0.052498,204058,25857,27147,25646,21780,9000,3694,1674,1131,770,473,493,989,755,543,528,-0.603824,0.990229,99360.6,85.1611,1.69832,748.493,0.005981,458656,117.201,11566,3,12594,550,485,74,114,26,953,1023,490,12,71,6,918,5059,219,14752,0,0,5,64,2,290709,1632,74674,858,550,2870,74,9,295768,Acer-campestre
0.270777,1961,665,15,7,673,0.455549,0.212447,275753,33557,30251,23473,17291,5838,2608,1353,1235,1051,393,350,810,729,657,906,-0.561517,0.972384,106962,80.4581,1.54906,731.231,0.016523,454566,113.824,17451,0,4710,1249,633,86,173,1,769,1830,696,80,67,3,896,5656,211,1677,3,0,3,185,10,342661,49212,69197,917,1252,29,86,17,348317,Acer-campestre
0.264108,2071,389,20,5,411,0.281115,0.014063,332386,26600,23690,18303,13178,4546,2193,1227,1022,756,328,329,502,518,570,2674,-0.591962,0.971692,109272,120.059,1.3305,751.18,0.015287,474696,168.539,16875,4,1463,963,342,50,48,9,261,1304,388,44,48,4,315,5393,566,181,8,0,0,185,0,370368,81370,29523,1303,971,1,50,6,375761,Acer-campestre
0.228501,1802,286,10,1,296,0.238927,0.107922,132265,35918,28709,19596,12954,3747,1646,855,948,570,379,389,860,964,863,1692,-0.590139,0.981878,102619,102.387,1.51024,749.914,0.008672,464444,143.68,18784,0,14284,1795,122,134,989,0,804,1015,126,0,107,1,486,4600,0,10833,90,0,18,4,0,223768,6723,44255,4,1885,0,135,0,228368,Acer-campestre
0.280048,1782,382,17,3,402,0.310781,0.157955,221051,33407,28618,21613,15491,5223,2361,1272,1004,574,309,278,620,461,530,2347,-0.62505,0.986312,107787,109.337,1.4076,746.362,0.010049,468529,153.664,13569,2,1767,911,307,0,41,0,261,1244,443,57,28,1,313,4826,4,1059,2,0,3,222,0,305768,57658,36107,143,913,1,0,10,310594,Acer-campestre
0.355351,2112,566,13,6,572,0.617451,0.167186,281083,38423,33069,25741,18210,5890,2446,1296,1028,706,494,508,876,931,688,1119,-0.578337,0.986095,105934,79.7601,1.70487,703.669,0.007581,430496,118.005,25571,4,4180,1222,620,8,88,0,663,1604,633,42,52,4,863,5663,346,1819,55,0,2,304,4,339510,63467,76401,1041,1277,75,8,30,345173,Acer-campestre
0.375579,2430,691,12,6,695,0.218338,0.131188,337061,30071,31526,28510,23698,10417,4014,1824,1297,1261,647,491,578,77,5,0,-0.536565,0.977172,98159.9,41.343,1.84097,715.774,0.009482,429516,64.6178,31674,0,40215,3001,1196,134,346,90,2283,2422,853,1,116,0,1750,6171,0,84698,217,2,898,137,2,372058,895,52808,0,3218,45,142,0,378229,Acer-campestre
0.314512,1729,387,9,4,389,0.201043,0.028216,197026,25301,23796,18734,13472,5155,2361,1263,1082,676,406,331,756,706,636,2851,-0.512281,0.902643,108186,137.802,1.1245,781.526,0.032973,499866,190.08,13985,7,1650,739,297,9,18,153,534,842,296,39,10,0,294,4739,0,787,0,1,13,8,0,276536,33235,34019,1,739,130,9,20,281275,Acer-campestre
0.350091,1920,467,15,5,479,0.106031,0.088641,156990,55267,35354,25089,17813,6705,3044,1613,1144,941,433,421,753,715,572,436,-0.559893,0.991466,103087,60.4167,1.9534,714.652,0.0012,435464,92.7742,20638,0,3752,1497,720,3,68,0,937,2261,877,91,57,3,1456,5288,322,718,220,0,27,1251,114,324121,58488,55489,878,1717,2,3,20,329409,Acer-campestre
0.255155,1802,277,10,2,285,0.211355,0.079455,142085,31456,30625,24941,18203,5752,2300,1234,1023,783,484,460,846,871,736,460,-0.509447,0.932981,103782,76.9754,1.41763,751.725,0.02767,467601,109.384,17359,0,10966,1034,293,511,673,49,1084,891,242,0,194,0,879,4628,0,9948,10,0,16,4,2,238340,7898,54234,24,1044,44,540,0,242968,Acer-campestre
0.236273,1730,376,7,3,376,0.408142,0.17705,332698,23106,22308,18076,13428,5046,2201,1246,969,799,599,421,861,694,671,444,-0.547394,0.931997,107962,62.7258,1.17992,770.519,0.029131,489723,88.1015,20010,15,2968,1402,459,90,264,0,651,1889,523,57,117,5,635,5199,1004,274,29,0,5,398,1,371315,56359,39177,2022,1431,2,91,47,376514,Acer-campestre
0.338384,2230,476,14,8,480,0.400565,0.18392,230005,39437,32133,22808,14660,5089,2376,1312,1065,625,373,323,719,624,783,2814,-0.524755,0.944562,107349,128.173,1.39606,721.297,0.024009,446860,179.719,17713,7,2130,911,294,36,60,1,319,889,318,46,28,3,271,5099,232,379,0,0,0,22,0,300485,35372,82826,851,911,1,36,14,305584,Acer-campestre
0.374307,1857,222,7,3,222,0.193858,0.03401,182299,39005,29651,20653,13787,4624,2283,1366,1062,768,427,424,954,761,576,1087,-0.595194,0.984195,108513,80.6335,1.49731,750.293,0.005989,472913,112.202,8245,5,1318,1238,420,62,201,0,494,1685,515,72,103,12,608,4827,1068,67,8,0,4,502,3,296857,69378,14732,2017,1246,0,62,28,301684,Acer-campestre
0.276614,1759,483,11,4,489,0.320006,0.005481,375430,28151,27106,21960,16359,5838,2380,1232,1163,890,383,398,712,671,429,101,-0.51176,0.926054,105488,42.0767,1.32529,739.517,0.028691,459472,63.9727,36143,0,11316,1904,407,248,375,271,1595,1578,432,0,87,0,1406,5397,0,5773,59,65,244,80,9,392546,60684,65672,1,1963,123,295,0,397943,Acer-campestre
0.252193,1726,185,12,3,195,0.195678,0.037734,190126,30999,28750,22732,16633,5301,2321,1262,1057,725,441,424,872,817,710,1732,-0.527838,0.935187,110363,95.2683,1.3161,747.95,0.025513,473483,131.661,7476,2,1643,1066,231,114,225,0,353,1203,261,22,93,1,365,4665,469,178,4,0,0,54,0,276798,73788,9619,1273,1070,0,114,12,281463,Acer-campestre
0.318944,1992,479,11,9,475,0.220986,0.019643,316471,23475,22409,18989,14114,5545,2617,1496,1159,740,374,375,638,489,482,2602,-0.543123,0.947077,110895,120.851,1.33769,748.793,0.023792,474904,173.212,12361,13,1607,944,360,49,103,1,332,1251,394,82,37,7,371,5348,288,275,2,0,0,34,1,356775,87658,19248,989,946,2,49,36,362123,Acer-campestre
0.320442,1718,575,11,5,579,0.241483,0.047052,275808,30539,29988,25243,19006,6985,2659,1341,1010,842,563,523,873,708,674,1197,-0.522988,0.93879,103155,74.5079,1.41914,727.945,0.026317,446531,110.608,34836,0,26886,2414,368,25,78,200,1414,1493,311,0,29,0,903,5616,0,31037,128,43,209,1,0,323912,18680,58138,0,2542,115,25,0,329528,Acer-campestre
0.328176,2185,432,12,3,442,0.198791,0.114167,307224,39279,35599,27085,18890,5929,2342,1191,970,748,411,403,812,747,685,1388,-0.530148,0.963102,104361,75.898,1.60739,691.822,0.016761,418843,111.106,39972,0,13305,1992,169,282,700,0,557,1361,180,2,132,1,559,5428,6,4980,36,0,2,30,0,341333,88208,63625,51,2028,0,326,1,346761,Acer-campestre
0.396403,1351,207,5,1,207,0.11852,0.021483,250732,9968,12684,15082,15327,11095,5680,2785,1787,997,350,278,600,594,561,589,-0.488527,0.896874,105932,59.8104,1.25383,786.541,0.034213,501204,89.6186,21169,0,4359,1266,408,314,603,276,995,1242,255,51,183,6,534,4614,3,1209,19,79,150,111,0,316822,18203,54661,23,1285,73,425,10,321436,Acer-monspessulanum
0.191424,1400,446,8,3,448,0.285354,0.117884,406892,10909,13028,14329,15000,10480,5556,2643,1600,691,332,275,527,584,549,962,-0.502137,0.917156,108821,56.233,1.31077,766.828,0.032016,487642,89.2378,21115,1,3844,1356,282,520,753,65,640,1905,308,57,171,20,542,5354,493,1026,171,8,42,755,3,430098,77205,33459,1196,1527,10,760,46,435452,Acer-monspessulanum
0.257609,1442,284,6,2,284,0.266249,0.050455,372562,15394,16177,16258,14384,7352,3286,1670,1017,480,315,334,670,542,412,518,-0.581001,0.952106,107212,52.3613,1.17862,785.335,0.025661,501863,76.509,18896,0,3702,824,460,314,158,146,911,1336,638,67,65,0,729,4938,0,1571,40,30,15,357,10,406063,38285,55208,13,864,69,322,7,411001,Acer-monspessulanum
0.461183,1388,288,9,2,294,0.105344,0.03095,245768,14137,16427,16586,15573,8398,4030,2070,1616,1079,337,322,499,456,506,513,-0.523645,0.913051,105998,54.5933,1.16459,797.235,0.033893,510994,80.2897,14101,3,3993,1499,325,24,61,599,1665,1863,206,148,123,0,885,4595,1,1503,121,199,451,271,25,316521,27314,36523,10,1620,100,24,56,321116,Acer-monspessulanum
0.368528,1526,319,6,1,321,0.27843,0.052439,323302,12369,14213,14254,13281,6878,2991,1285,804,537,380,354,598,544,575,784,-0.524806,0.897826,107031,59.6758,1.04006,801.416,0.03591,516236,86.59,14400,0,2727,1061,398,551,303,174,1239,1203,338,58,79,0,450,4795,0,851,82,8,103,45,0,361633,29721,42797,4,1143,81,609,11,366428,Acer-monspessulanum
0.282788,1533,252,7,2,254,0.29809,0.057194,273675,14393,16525,16446,14437,7337,3005,1328,963,674,429,444,665,686,564,739,-0.518087,0.881825,106228,60.0806,0.974586,806.541,0.037336,519850,87.5811,11569,1,2619,772,333,598,218,142,914,842,330,22,101,0,501,4618,0,674,1,10,23,0,0,333459,12164,53402,2,773,136,684,3,338077,Acer-monspessulanum
0.341033,1197,403,10,2,411,0.3672,0.047001,381427,10668,12357,12588,11673,6458,3120,1455,959,581,332,221,464,359,412,830,-0.528957,0.89302,107417,53.9404,0.979532,803.936,0.037195,519073,77.0157,15750,7,2776,895,324,370,113,245,1087,1187,410,56,51,1,600,4835,0,837,5,87,42,128,2,403350,39427,39816,0,900,99,379,3,408185,Acer-monspessulanum
0.188113,1415,241,6,1,243,0.291407,0.059942,360246,10679,12626,13034,11981,6607,2848,1274,726,512,393,372,632,538,504,522,-0.525068,0.883556,105373,54.8224,0.945319,811.175,0.03767,522934,77.6128,9319,0,3555,947,326,427,461,97,746,920,365,2,149,0,442,4703,0,1200,8,11,46,16,0,386330,7243,66236,0,955,116,435,1,391033,Acer-monspessulanum
0.390102,1496,238,11,0,252,0.08892,0.030818,247214,11798,14134,13968,13042,7458,3724,1969,1377,835,422,372,537,499,432,1293,-0.516529,0.88908,108398,78.7481,1.0235,808.459,0.036666,524655,110.305,7821,2,2632,1194,242,26,74,365,855,1076,234,84,7,2,405,4480,0,551,22,9,1,34,0,313150,43221,12682,3,1216,189,26,17,317630,Acer-monspessulanum
0.425104,1361,463,9,1,471,0.175771,0.042153,310258,26596,22577,19210,15575,6921,2876,1488,1072,821,364,310,653,596,391,185,-0.617763,0.983415,106030,47.833,1.40456,773.727,0.010724,489867,72.376,16801,2,4788,1496,300,573,824,28,757,2048,396,96,140,4,768,5176,3,2413,141,0,7,873,18,384777,51882,39457,92,1637,5,727,27,389953,Acer-monspessulanum
0.398018,1215,230,6,1,232,0.189233,0.027971,305345,14530,15014,13638,11679,4926,2220,1170,905,517,412,380,632,419,368,644,-0.553353,0.892814,105782,52.7866,0.848892,820.393,0.037699,532127,75.0171,10456,0,2504,681,311,361,156,229,1000,904,366,34,54,0,520,4475,0,820,1,22,47,61,4,350594,16326,42792,2,682,83,385,2,355069,Acer-monspessulanum
0.420028,1153,398,6,0,402,0.072115,0.05393,265787,14181,15865,16352,15333,8595,3759,2072,1574,731,450,351,600,593,596,629,-0.516878,0.911121,108216,62.1875,1.20196,781.236,0.03303,499614,88.8286,15893,0,2829,1026,328,239,254,470,1159,1244,304,22,72,1,588,4747,0,800,2,129,110,31,1,326453,44206,33186,2,1028,144,250,5,331200,Acer-monspessulanum
0.371473,52,27,4,0,27,0.369957,0.084449,261330,11514,13028,13765,13152,8364,4145,2178,1778,872,307,288,541,598,523,482,-0.529324,0.907081,106313,48.6423,1.07809,807.695,0.035136,521038,73.4583,14059,0,3888,894,301,11,6,399,1588,1592,215,40,114,2,1120,4559,0,1763,11,115,584,911,2,323720,31648,26209,0,905,81,11,14,328279,Acer-monspessulanum
0.258207,1298,349,8,1,355,0.204856,0.062879,346434,11264,13199,14342,13911,9184,4735,2277,1100,646,304,297,591,582,378,523,-0.532348,0.928711,106042,51.7466,1.23758,785.764,0.0308,500628,79.4142,15990,0,4993,1120,456,755,786,44,505,1498,478,64,160,6,520,4907,6,1866,117,3,2,261,2,381614,20973,66942,108,1237,88,977,23,386521,Acer-monspessulanum
0.240139,1492,338,7,2,340,0.407382,0.033989,424441,11993,13717,13740,12832,6816,3061,1457,953,687,392,344,479,405,399,780,-0.552841,0.914717,107962,51.4382,1.00492,800.512,0.034268,516671,75.3844,18579,1,2531,947,352,403,93,162,860,1167,462,74,57,1,641,5082,0,990,14,20,12,82,1,446285,48836,41057,99,961,102,424,5,451367,Acer-monspessulanum
0.336522,1486,247,10,2,255,0.018809,0.071549,278503,26528,18690,15706,13743,6434,2892,1303,971,741,295,226,461,518,435,449,-0.605682,0.978993,104757,45.995,1.38638,797.935,0.013828,509881,69.6699,15297,0,2834,979,409,470,170,536,1995,2084,465,143,314,1,1403,4936,0,897,201,126,301,822,93,379080,26086,48977,0,1180,47,505,74,384016,Acer-monspessulanum
0.41022,1355,280,6,1,282,0.351828,0.047114,355182,14782,14535,13187,10935,5218,2387,1173,941,590,335,308,468,353,338,521,-0.588348,0.933754,105325,45.9317,0.940281,821.152,0.029961,532186,66.9275,10954,0,2952,818,441,345,20,431,961,1168,530,83,40,0,725,4773,0,1116,51,49,12,229,12,395070,17370,47748,0,869,188,365,6,399843,Acer-monspessulanum
0.373029,974,251,10,2,259,0.209826,0.064392,428907,17622,7689,5476,5268,5022,4106,2873,2390,906,296,214,348,246,133,122,-0.699381,0.996733,86370.6,49.6721,1.29519,799.304,0.001583,485570,70.962,17370,8,16349,2199,983,207,797,17,508,1391,99,58,180,107,313,4751,4,10163,144,4,12,316,0,527007,7319,24322,151,2343,183,211,173,531758,Acer-monspessulanum
0.386879,1448,288,7,2,290,0.234063,0.027418,345326,8314,10336,11306,11547,8036,4110,1969,1067,796,281,225,477,459,399,554,-0.513434,0.890545,106066,48.6821,1.05708,805.722,0.03703,518849,73.144,18825,0,4133,1028,399,278,33,414,1233,1407,417,24,26,0,982,4858,0,1571,8,67,105,158,11,374566,27264,44048,0,1036,53,279,12,379424,Acer-monspessulanum
0.354938,1058,439,21,1,471,0.178546,0.059785,335483,12501,13762,14024,13082,7686,3668,1677,1112,826,286,217,608,632,360,142,-0.534269,0.911809,104980,35.2241,1.0864,800.167,0.033378,512230,56.9917,17041,0,5979,960,421,26,10,266,1452,1408,307,44,11,0,876,4722,0,3079,17,57,1219,180,1,372195,10675,63802,0,977,73,27,4,376917,Acer-monspessulanum
